time [s],Force [kN],Transducer [mm]
55.466797,-112.72478000000001,-0.23589432
55.66699200000001,-113.45998999999999,-0.23702234
55.867188,-114.23381,-0.23806989
56.06738299999999,-115.04385,-0.23959279
56.267578,-115.82789,-0.24128779999999997
56.467773,-116.60313000000001,-0.24220273
56.66796899999999,-117.39346,-0.24302602
56.868164,-118.17962,-0.24338365
57.068358999999994,-118.9216,-0.24513602
57.268555000000006,-119.68593999999999,-0.24632588
57.46875,-120.50175,-0.24740323
57.668944999999994,-121.24943999999999,-0.24844185
57.869141000000006,-122.04011000000001,-0.24903789
58.069336,-122.84987,-0.25018677
58.26953100000001,-123.63071000000001,-0.25136545
58.469727,-124.36200000000001,-0.25262982
58.669922,-125.16618000000001,-0.25379434
58.87011700000001,-125.96248999999999,-0.2549924
59.070313,-126.70629,-0.25601834
59.27050799999999,-127.46561000000001,-0.25639907
59.470703,-128.31226999999998,-0.25758147
59.670898,-129.0882,-0.25921911
59.87109399999999,-129.85536000000002,-0.26000142
60.071289,-130.63736,-0.26121363
60.271483999999994,-131.42815,-0.26185513
60.471680000000006,-132.16571000000002,-0.26233271
60.671875,-132.99428999999998,-0.26412457
60.872069999999994,-133.78981000000002,-0.26488453
61.072266000000006,-134.54013,-0.26642531
61.272461,-135.3047,-0.26706606
61.47265600000001,-136.12994,-0.26844069
61.672852,-136.88396,-0.26909485
61.873047,-137.66251,-0.2706863
62.07324200000001,-138.44961999999998,-0.27130619
62.273438,-139.26291,-0.27222186
62.47363299999999,-140.01892,-0.27302057
62.673828,-140.77719,-0.27449727
62.874023,-141.57461999999998,-0.27536899
63.07421899999999,-142.33408,-0.27613938
63.274414,-143.10161000000002,-0.27727634
63.474608999999994,-143.89766,-0.27806386
63.674805000000006,-144.69081,-0.27912855
63.875,-145.46437,-0.28008372
64.075195,-146.24025,-0.28129891
64.275391,-147.09091,-0.28209612
64.47558599999999,-147.81187,-0.28336123
64.675781,-148.54448,-0.28413162
64.875977,-149.38596,-0.28550327
65.076172,-150.16777,-0.2864182
65.27636700000001,-150.90503999999999,-0.28747916
65.476563,-151.70966,-0.28774962
65.67675799999999,-152.51459,-0.28906241
65.876953,-153.28125,-0.29057115
66.077148,-154.06975,-0.29077232
66.277344,-154.86597,-0.29232353
66.47753900000001,-155.63536000000002,-0.29274747
66.677734,-156.4007,-0.2941601
66.87793,-157.20448000000002,-0.294815
67.078125,-157.98386000000002,-0.29584393
67.27832,-158.70778,-0.29697344
67.478516,-159.51866,-0.29822066
67.67871099999999,-160.33243000000002,-0.29895678
67.878906,-161.077,-0.2997674
68.079102,-161.88687,-0.30074865
68.279297,-162.66191,-0.30151904
68.47949200000001,-163.43466,-0.30286387
68.679688,-164.18506000000002,-0.30379817
68.87988299999999,-164.99373,-0.30454919
69.080078,-165.76808,-0.30543581
69.280273,-166.53951999999998,-0.3060177
69.480469,-167.34146,-0.30739754
69.68066400000001,-168.12608,-0.30860975
69.880859,-168.91286000000002,-0.30899569
70.081055,-169.6913,-0.31063631
70.28125,-170.49709,-0.31111687
70.481445,-171.26233,-0.31189471
70.681641,-172.00385,-0.31309053
70.88183599999999,-172.80818,-0.31400323
71.082031,-173.59032,-0.31497106
71.282227,-174.34333999999998,-0.31592324
71.482422,-175.11812,-0.31662136
71.68261700000001,-175.96246000000002,-0.31833425
71.882813,-176.73878,-0.31828433
72.08300799999999,-177.42807,-0.31977668
72.283203,-178.23708,-0.32014921
72.483398,-179.01488,-0.3212817
72.683594,-179.7605,-0.32197684
72.88378900000001,-180.56456,-0.32362193
73.083984,-181.26074,-0.32425448
73.28418,-182.02126,-0.32470897
73.484375,-182.9039,-0.32610968
73.68457,-183.69961999999998,-0.32681674
73.884766,-184.5163,-0.32796189
74.08496099999999,-185.25999,-0.32877773
74.285156,-186.00543000000002,-0.3293708
74.485352,-186.81335,-0.33012778
74.685547,-187.5849,-0.3319107
74.88574200000001,-188.34198,-0.33267215
75.085938,-189.15894,-0.33394322
75.28613299999999,-189.83145,-0.33414736
75.486328,-190.75047,-0.33523068
75.686523,-191.55112,-0.33644289
75.886719,-192.26968,-0.33700913
76.08691400000001,-192.96931,-0.33810213
76.287109,-193.88272,-0.33914
76.487305,-194.5799,-0.33983067
76.6875,-195.39082,-0.34071803
76.887695,-196.1203,-0.34147948
77.087891,-196.94093,-0.34291148
77.28808599999999,-197.79692,-0.34349412
77.488281,-198.57643000000002,-0.34465566
77.688477,-199.37816999999998,-0.34572259
77.888672,-200.18248,-0.34675002
78.08886700000001,-200.89055,-0.34704134
78.289063,-201.72319,-0.34831911
78.48925799999999,-202.39941000000002,-0.34895688
78.689453,-203.17517,-0.3504619
78.889648,-203.96018999999998,-0.35052076
79.089844,-204.84599,-0.35207793
79.29003900000001,-205.54335,-0.35261512
79.490234,-206.40411,-0.35365298
79.69043,-207.10095,-0.35467222
79.890625,-207.90386999999998,-0.35561770000000004
80.09082,-208.66087,-0.35645366
80.291016,-209.47066,-0.35744235
80.49121099999999,-210.3046,-0.35838857
80.691406,-211.01822,-0.35969019
80.891602,-211.79352999999998,-0.36013648
81.091797,-212.6062,-0.36079884
81.29199200000001,-213.37204,-0.36197603
81.492188,-214.10445,-0.36299452
81.69238299999999,-214.93687000000003,-0.36353022
81.892578,-215.73836,-0.36468282
82.092773,-216.49903999999998,-0.36510527
82.292969,-217.31848,-0.36638603
82.49316400000001,-218.13297000000003,-0.36720559
82.693359,-218.8447,-0.36798418
82.893555,-219.63776000000001,-0.36867112
83.09375,-220.42302,-0.3700614
83.293945,-221.18468,-0.37106201
83.494141,-221.96486000000002,-0.37121996
83.69433599999999,-222.76944,-0.372307
83.894531,-223.55888,-0.37364513
84.094727,-224.29303,-0.37396699
84.294922,-225.06857000000002,-0.375323
84.49511700000001,-225.94507000000002,-0.37634224
84.695313,-226.70067000000003,-0.37677586
84.89550799999999,-227.42597999999998,-0.37760139
85.095703,-228.26047000000003,-0.37859902
85.295898,-229.04175,-0.37967414
85.496094,-229.78322000000003,-0.38065389
85.69628900000001,-230.59741,-0.38168281
85.896484,-231.37985,-0.382144
86.09668,-232.11527999999998,-0.38305447
86.296875,-232.91191,-0.38367808
86.49707,-233.7186,-0.38494989
86.697266,-234.48514,-0.38607642
86.89746099999999,-235.26135,-0.38645789
87.097656,-236.08105,-0.38762987
87.297852,-236.82306,-0.38849935
87.498047,-237.58022000000003,-0.38910508
87.69824200000001,-238.37669,-0.38993284
87.898438,-239.17503,-0.39067194
88.09863299999999,-239.91742000000002,-0.39223358
88.298828,-240.69897000000003,-0.39335638
88.499023,-241.49958999999998,-0.39347112
88.699219,-242.28767000000002,-0.39430186
88.89941400000001,-243.05864,-0.39503872
89.099609,-243.84887999999998,-0.39634407
89.299805,-244.6626,-0.39710775
89.5,-245.41385,-0.39791912
89.700195,-246.19211,-0.39922521
89.900391,-246.98621,-0.39999783
90.10058599999999,-247.74173,-0.40056705
90.300781,-248.50745,-0.40128231
90.500977,-249.34296,-0.40254667
90.701172,-250.10995,-0.40304363
90.90136700000001,-250.81725,-0.40464103
91.101563,-251.64243,-0.40482729999999995
91.30175799999999,-252.43645,-0.40542409
91.501953,-253.2231,-0.40658191
91.702148,-254.0607,-0.40715635
91.902344,-254.80266,-0.40846542
92.10253900000001,-255.60362,-0.40953457
92.302734,-256.36279,-0.41016713
92.50293,-257.14401000000004,-0.41067898
92.703125,-257.93781,-0.41178167
92.90332,-258.66348,-0.41337982
93.103516,-259.47156,-0.41369721
93.30371099999999,-260.28415,-0.41472763
93.503906,-261.02127,-0.41543841
93.704102,-261.78406,-0.41597113
93.904297,-262.60104,-0.41701272
94.10449200000001,-263.40393,-0.41813999
94.304688,-264.17703,-0.41935444
94.50488299999999,-264.96976,-0.41979328
94.705078,-265.74435,-0.42050853
94.905273,-266.45306,-0.42140931
95.105469,-267.2709,-0.4222393
95.30566400000001,-268.0694,-0.42333156
95.505859,-268.83047,-0.42407885
95.706055,-269.57016,-0.42457059
95.90625,-270.35402999999997,-0.42607933
96.106445,-271.13394,-0.42657629
96.306641,-271.88232,-0.42722970000000005
96.50683599999999,-272.74973,-0.42790845
96.707031,-273.54962,-0.42889863
96.907227,-274.2854,-0.42948723
97.107422,-275.07047,-0.43118149
97.30761700000001,-275.88095,-0.43151826
97.507813,-276.62003,-0.431972
97.70800799999999,-277.37683,-0.43312013
97.908203,-278.18273999999997,-0.43371618
98.108398,-278.97687,-0.43450519
98.308594,-279.72586,-0.43621287
98.50878900000001,-280.53979,-0.43642446
98.708984,-281.32813,-0.43746233
98.90918,-282.0882,-0.43817684
99.109375,-282.88501,-0.43918416
99.30957,-283.69507000000004,-0.44007376
99.509766,-284.46576,-0.44106171
99.70996099999999,-285.21811,-0.44155866
99.910156,-286.00552000000005,-0.44196025
100.11035,-286.81934,-0.44348016
100.31055,-287.57361000000003,-0.44468492
100.51074,-288.33734,-0.44482425
100.71094000000001,-289.12888,-0.44612065
100.91113,-289.86334,-0.44675097
101.11133000000001,-290.61978,-0.44796988
101.31152,-291.48065,-0.44839159
101.51172,-292.27218999999997,-0.44919774
101.71191,-292.95041000000003,-0.45023486
101.91211,-293.76886,-0.45039505
102.1123,-294.577,-0.45121834
102.3125,-295.33939,-0.45259744
102.5127,-296.08173,-0.45343861
102.71289,-296.91937,-0.45483112
102.91309,-297.6525,-0.45561641
103.11328,-298.42416000000003,-0.45675337
103.31348,-299.28409,-0.45653656
103.51366999999999,-300.06021,-0.45787841
103.71387,-300.83221000000003,-0.45890063
103.91405999999999,-301.573,-0.45985058
104.11426,-302.37863,-0.46034306
104.31445,-303.17914,-0.46111569
104.51465,-303.96066,-0.46238601
104.71484,-304.78792999999996,-0.46262741
104.91503999999999,-305.53665,-0.46384259999999994
105.11523000000001,-306.24716,-0.46433657
105.31543,-307.12131,-0.46534389
105.51563,-307.90762,-0.46669841
105.71582,-308.69141,-0.46718568
105.91601999999999,-309.48398,-0.4681401
106.11621000000001,-310.26865,-0.46880320000000003
106.31641,-311.00568,-0.46967641
106.5166,-311.71957000000003,-0.47083125
106.7168,-312.59152,-0.47146007
106.91698999999998,-313.38004,-0.47186911
107.11719,-314.1116,-0.4729107
107.31738,-314.91797,-0.47358349
107.51758000000001,-315.70801,-0.47504082
107.71777,-316.47427000000005,-0.47584549
107.91797,-317.22495,-0.47617033
108.11816,-318.03125,-0.47748908
108.31836000000001,-318.78897,-0.47804043
108.51855,-319.56032999999996,-0.47873482
