time [s],Force [kN],Transducer [mm]
28.792969,-1.5719645,-0.0015355647
28.993164,-2.4477987,-0.0053018332
29.193359,-3.2464061,-0.008815527
29.393555,-4.0228796,-0.011794269
29.59375,-4.7446771,-0.014536083
29.793945,-5.1325874,-0.016646832
29.994141,-5.6513062000000005,-0.018217415
30.194336,-6.9428811,-0.022853166
30.394531,-7.948152499999999,-0.026618688999999997
30.594727000000002,-8.756160699999999,-0.029988587
30.794921999999996,-9.4869566,-0.033169985
30.995116999999997,-10.254658000000001,-0.036410242
31.195313,-11.071342,-0.039517879
31.395508000000003,-11.912984,-0.042757392000000005
31.595703000000004,-12.703238,-0.046307594
31.795897999999998,-13.544639000000002,-0.049696863
31.996094,-14.387678,-0.051900744000000006
32.196289,-15.217225,-0.055368245
32.396484,-15.950148,-0.05819127
32.59668,-16.762007,-0.06050542
32.796875,-17.540325,-0.063047558
32.99707,-18.310377,-0.065791607
33.197266,-19.050674,-0.067824125
33.397461,-19.879192,-0.070811063
33.597656,-20.603453,-0.073109567
33.797852,-21.399658,-0.075225532
33.998047,-22.192080999999998,-0.077664107
34.198242,-22.949541,-0.080184639
34.398438,-23.664935999999997,-0.082327425
34.598633,-24.49785,-0.08430481
34.798828,-25.266126999999997,-0.086717308
34.999023,-26.040443,-0.089123845
35.199219,-26.805072999999997,-0.091413409
35.399414,-27.648609000000004,-0.09340941900000001
35.599609,-28.367234999999997,-0.09496882599999999
35.799805,-29.159325,-0.097624213
36.0,-29.924801000000002,-0.099337101
36.200195,-30.717746999999996,-0.10152608
36.400391,-31.502439000000003,-0.10351389999999999
36.600586,-32.305157,-0.10609627
36.800781,-33.073593,-0.10787174
37.000977,-33.834221,-0.10965616
37.201172,-34.592812,-0.1117982
37.401367,-35.408108,-0.11426061
37.601563,-36.15596,-0.1157172
37.801758,-36.933628000000006,-0.11746362
38.001953,-37.800484000000004,-0.12007281
38.202148,-38.540115,-0.12169108
38.402344,-39.299171,-0.12320429
38.602539,-40.085999,-0.12522712
38.802734,-40.899002,-0.12702569
39.00293,-41.641354,-0.12908652
39.203125,-42.430473,-0.13111755
39.40332,-43.235077000000004,-0.13266206
39.603516,-44.016308,-0.13436303
39.803711,-44.763084,-0.13661981
40.003906,-45.604382,-0.13768673
40.204102,-46.371212,-0.13970137
40.404297,-47.136215,-0.14083907
40.604492,-47.878353000000004,-0.14292821
40.804688,-48.745632,-0.14451742
41.004883,-49.448463000000004,-0.14620349
41.205078,-50.240509,-0.14767274
41.405273,-51.027699,-0.15007704
41.605469,-51.804893,-0.15170574
41.805664,-52.550861,-0.15336648
42.005859,-53.375153000000005,-0.15494451
42.206055,-54.157875,-0.15655756
42.40625,-54.924061,-0.1581192
42.606445,-55.678146,-0.15997514
42.806641,-56.523304,-0.16206279
43.006836,-57.247558999999995,-0.16317293
43.207031,-58.039280000000005,-0.16430467
43.407227,-58.80497,-0.16659424
43.607422,-59.62701800000001,-0.16786009
43.807617,-60.359688,-0.16951337
44.007813,-61.150162,-0.17128512
44.208008,-61.945042,-0.17250031
44.408203,-62.730121999999994,-0.17364919
44.608398,-63.456654,-0.17548576
44.808594,-64.32852199999999,-0.17707944
45.008789,-65.090691,-0.17858744
45.208984,-65.84783900000001,-0.18005893
45.40918,-66.649277,-0.18159002
45.609375,-67.429344,-0.18278211
45.80957,-68.15389300000001,-0.184118
46.009766,-68.943764,-0.18647835
46.209961,-69.71788000000001,-0.1876384
46.410156,-70.54335,-0.18888041
46.610352,-71.276131,-0.19131973
46.810547,-72.121185,-0.19218773
47.010742,-72.86391400000001,-0.19384921
47.210938,-73.629181,-0.19470975
47.411133,-74.414917,-0.19690618
47.611328,-75.21345500000001,-0.19851401
47.811523,-75.96373,-0.19950494
48.011719,-76.74481999999999,-0.20055696
48.211914,-77.546989,-0.20197332
48.412109,-78.366341,-0.20396411
48.612305,-79.082298,-0.20476058
48.8125,-79.903671,-0.20640865
49.012695,-80.66733599999999,-0.20771101
49.212891,-81.46309699999999,-0.20912588
49.413086,-82.18274699999999,-0.20997077
49.613281,-83.049049,-0.2119042
49.813477,-83.731323,-0.21316335
50.013672,-84.567139,-0.21487921
50.213867,-85.347092,-0.21587759
50.414063,-86.132637,-0.21719038
50.614258,-86.847824,-0.218454
50.814453,-87.73105600000001,-0.21970570000000003
51.014648,-88.472328,-0.22143200000000002
51.214844,-89.276421,-0.22311956
51.415039,-90.00836899999999,-0.22401065
51.615234,-90.864189,-0.22555292
51.81543,-91.57216600000001,-0.22711307
52.015625,-92.38765,-0.22807047
52.21582,-93.170845,-0.22979453
52.416016,-93.978325,-0.23051351
52.616211,-94.714844,-0.23222491
52.81640600000001,-95.488228,-0.23309216
53.016602,-96.305328,-0.23518428
53.216797,-97.066315,-0.23591220000000002
53.41699200000001,-97.825859,-0.23780391
53.617188,-98.649849,-0.23889989
53.81738299999999,-99.40308399999999,-0.23998171
54.017578,-100.15154,-0.24121404
54.217773,-100.98048,-0.24276525
54.41796899999999,-101.76893000000001,-0.24356321
54.618164,-102.52976,-0.24483204
54.818358999999994,-103.31557,-0.2464965
55.018555000000006,-104.0977,-0.24787337
55.21875,-104.84921,-0.24875402
55.418944999999994,-105.64473999999998,-0.24996772
55.619141000000006,-106.46995,-0.25120974
55.819336,-107.23154,-0.25225431
56.01953100000001,-107.96443000000001,-0.25375783
56.219727,-108.77906999999999,-0.25504306
56.419922,-109.58672,-0.25647953
56.62011700000001,-110.3659,-0.25751069
56.820313,-111.11147,-0.25874451
57.02050799999999,-111.93208,-0.26054531
57.220703,-112.67846000000002,-0.26157871
57.420898,-113.48831000000001,-0.26279092
57.62109399999999,-114.23057,-0.26400759999999995
57.821289,-115.04701000000001,-0.26490614
58.021483999999994,-115.76728999999999,-0.26636347
58.221680000000006,-116.61428000000001,-0.26793927
58.421875,-117.3661,-0.26880801
58.622069999999994,-118.14825,-0.26992634
58.822266000000006,-118.89385,-0.27167276
59.022461,-119.74603,-0.2727598
59.22265600000001,-120.48791999999999,-0.27349070000000003
59.422852,-121.26851,-0.27462244
59.623047,-122.04683999999999,-0.27610213
59.82324200000001,-122.85191,-0.27756616
60.023438,-123.61343000000001,-0.27828813
60.22363299999999,-124.38466000000001,-0.27910322
60.423828,-125.17258999999999,-0.28050840000000005
60.624023,-125.98616000000001,-0.28190464
60.82421899999999,-126.69278999999999,-0.28259307
61.024414,-127.53348000000001,-0.28438047
61.224608999999994,-128.32751000000002,-0.28506443
61.424805000000006,-129.02053999999998,-0.28658956
61.625,-129.88038999999998,-0.28767288
61.825194999999994,-130.6891,-0.28907657
62.025391000000006,-131.40428,-0.28977916
62.225586,-132.17021,-0.29105991
62.42578100000001,-132.99127,-0.29213428
62.625977,-133.75116,-0.29322803
62.826172,-134.51927,-0.29419735
63.02636700000001,-135.33848999999998,-0.29533207
63.226563,-136.09644,-0.29648989
63.42675799999999,-136.85378,-0.297831
63.626953,-137.67567,-0.29916987
63.827148,-138.43411,-0.300318
64.027344,-139.26656,-0.30125156
64.22753900000001,-139.97115,-0.30223951
64.427734,-140.81821000000002,-0.30344427
64.62793,-141.57933,-0.30471459
64.828125,-142.34729,-0.30585825
65.02832,-143.1394,-0.30638725
65.228516,-143.94803000000002,-0.30811727
65.42871099999999,-144.61476000000002,-0.30866191
65.628906,-145.46815,-0.30940473
65.829102,-146.28328,-0.31103194
66.029297,-147.0139,-0.31246915
66.22949200000001,-147.75693,-0.31349808
66.429688,-148.6235,-0.31454861
66.62988299999999,-149.39726000000002,-0.31583309
66.830078,-150.16051000000002,-0.31643882
67.030273,-150.93042,-0.31778812
67.230469,-151.76758999999998,-0.31836405
67.43066400000001,-152.43431,-0.31944588
67.630859,-153.30923,-0.32044798
67.831055,-154.06465,-0.32172427
68.03125,-154.86305,-0.32275766
68.231445,-155.57083,-0.32372847
68.431641,-156.39403000000001,-0.32495782
68.63183599999999,-157.18262,-0.32598227
68.832031,-157.96027,-0.32675862
69.032227,-158.69403,-0.32796562
69.232422,-159.63248000000002,-0.32902434
69.43261700000001,-160.37608,-0.33005401
69.632813,-161.15831,-0.33095405
69.83300799999999,-161.94339,-0.33183917
70.033203,-162.71498,-0.33318773
70.233398,-163.47055,-0.33452362
70.433594,-164.26352,-0.33523589
70.63378900000001,-165.0813,-0.33670142
70.833984,-165.80759,-0.33740923
71.03418,-166.57076999999998,-0.33792034
71.234375,-167.40028,-0.33884197
71.43457,-168.17775,-0.33988655
71.634766,-168.90536,-0.34120753
71.83496099999999,-169.71129,-0.34212843
72.035156,-170.5004,-0.34281909
72.235352,-171.25731000000002,-0.34421979999999996
72.435547,-172.04373,-0.34497082
72.63574200000001,-172.83559,-0.34608245
72.835938,-173.57468,-0.34670009999999996
73.03613299999999,-174.34708,-0.34786090000000003
73.236328,-175.17683,-0.34902841
73.436523,-175.92776,-0.35039112
73.636719,-176.71483,-0.35097077
73.83691400000001,-177.47533,-0.35195872
74.037109,-178.30446,-0.35283566
74.237305,-179.05138,-0.35376251
74.4375,-179.86436,-0.35511479
74.637695,-180.62771999999998,-0.35581589
74.837891,-181.41246,-0.35683736
75.03808599999999,-182.1657,-0.35779476
75.238281,-182.99933000000001,-0.35870671
75.438477,-183.74358,-0.35912171
75.638672,-184.52481,-0.36043599
75.83886700000001,-185.2879,-0.36173463
76.039063,-186.12131000000002,-0.36270767
76.23925799999999,-186.83928,-0.36388114
76.439453,-187.62393,-0.36402568
76.639648,-188.42014,-0.36491901
76.839844,-189.21277,-0.36633536
77.04003900000001,-189.97314,-0.36812574
77.240234,-190.77589,-0.36872998
77.44043,-191.55876,-0.36931112
77.640625,-192.30156000000002,-0.37019104
77.84082,-193.10432,-0.37100017
78.041016,-193.90807,-0.37158951
78.24121099999999,-194.64815,-0.3732428
78.441406,-195.39621,-0.37355721
78.641602,-196.24791000000002,-0.37486553
78.841797,-197.0199,-0.3754355
79.04199200000001,-197.75258,-0.37683621
79.242188,-198.57637,-0.37803575
79.44238299999999,-199.39813,-0.37874356
79.642578,-200.11485,-0.37988275
79.842773,-200.90746000000001,-0.38070604
80.042969,-201.69353999999998,-0.38136095
80.24316400000001,-202.45107,-0.38227811
80.443359,-203.20717,-0.38370788
80.643555,-204.03314,-0.384444
80.84375,-204.81396,-0.38529858
81.043945,-205.56718,-0.3865011
81.244141,-206.35613999999998,-0.38727447
81.44433599999999,-207.1512,-0.38805157
81.644531,-207.88158,-0.38872808
81.844727,-208.68027,-0.38934872
82.044922,-209.50603999999998,-0.39085746
82.24511700000001,-210.25716,-0.39181188
82.445313,-211.02263,-0.39266497
82.64550799999999,-211.85488999999998,-0.39348751
82.845703,-212.61252000000002,-0.39469749
83.045898,-213.35347000000002,-0.39501563
83.246094,-214.14571,-0.3965281
83.44628900000001,-214.97925,-0.39694682
83.646484,-215.70781000000002,-0.39813742
83.84668,-216.47246,-0.3991425
84.046875,-217.2982,-0.40034577
84.24707,-218.04465,-0.40083975
84.447266,-218.83062999999999,-0.40164217
84.64746099999999,-219.62883,-0.40297359
84.847656,-220.46185,-0.40392876
85.047852,-221.15742000000003,-0.40478259
85.248047,-221.99863,-0.40563047
85.44824200000001,-222.77077000000003,-0.40682182
85.648438,-223.5441,-0.40729940000000003
85.84863299999999,-224.28638999999998,-0.40852353
86.048828,-225.13617000000002,-0.40926263
86.249023,-225.8623,-0.40980875
86.449219,-226.64761000000001,-0.41124076
86.64941400000001,-227.46597000000003,-0.41230097
86.849609,-228.29539,-0.41247904
87.049805,-229.01236,-0.41360185
87.25,-229.8055,-0.41505471
87.450195,-230.63953999999998,-0.41633546
87.650391,-231.38282999999998,-0.41621178
87.85058599999999,-232.11612999999997,-0.41702688
88.050781,-232.9393,-0.41823313
88.250977,-233.7319,-0.41920692
88.451172,-234.45404,-0.42055994
88.65136700000001,-235.24489,-0.42094663
88.851563,-236.03532,-0.42192712
89.05175799999999,-236.82788,-0.42283535
89.251953,-237.60156,-0.42335689
89.452148,-238.43793,-0.42423978
89.652344,-239.15981000000002,-0.42483881
89.85253900000001,-239.97571000000002,-0.42659566
90.052734,-240.72432,-0.42751282
90.25293,-241.53857000000002,-0.42844191
90.453125,-242.27327999999997,-0.42908043
90.65332,-243.07442999999998,-0.42977259
90.853516,-243.8562,-0.43073744
91.05371099999999,-244.65552999999997,-0.43168217
91.253906,-245.40717,-0.43257624
91.454102,-246.20116000000002,-0.43352395
91.654297,-246.95505,-0.43420047
91.85449200000001,-247.75572000000003,-0.43564811
92.054688,-248.5204,-0.43636337
92.25488299999999,-249.34412000000003,-0.43732077
92.455078,-250.06961,-0.43845102
92.655273,-250.86415,-0.43849945
92.855469,-251.64602999999997,-0.44014305
93.05566400000001,-252.4628,-0.44024065
93.255859,-253.17754,-0.44188946
93.456055,-254.02572999999998,-0.44258833
93.65625,-254.75797000000003,-0.44333859999999997
93.856445,-255.48413,-0.44402108
94.056641,-256.2565,-0.44535249
94.25683599999999,-257.14566,-0.44567883
94.457031,-257.85101000000003,-0.4472062
94.657227,-258.62851,-0.44768900000000006
94.857422,-259.4552,-0.44896603
95.05761700000001,-260.22238,-0.44909045
95.257813,-260.97324,-0.45053512
95.45800799999999,-261.79932,-0.45113489
