time [s],Force [kN],Transducer [mm]
32.344727,-1.6403439999999998,-0.0020809472
32.544922,-2.5216601,-0.005697459
32.745117,-3.3345447,-0.0088751316
32.945313,-4.0891266,-0.011967123
33.145508,-4.842171700000001,-0.014989823000000001
33.345703,-5.1827168,-0.016375631
33.545898,-5.8681622,-0.019048898999999998
33.746094,-7.0338788,-0.023397058
33.946289,-8.046950299999999,-0.026804954
34.146484,-8.8277359,-0.029734522000000003
34.34668,-9.5891809,-0.032638013
34.546875,-10.315539999999999,-0.035199522999999996
34.74707,-11.121129,-0.03689751
34.947266,-11.982292999999999,-0.039625167999999995
35.147461,-12.798992,-0.042200834000000007
35.347656,-13.639229,-0.044891238
35.547852,-14.473926,-0.04690215
35.748047,-15.247047,-0.049062818
35.948242,-16.018760999999998,-0.05195364400000001
36.148438,-16.810898,-0.053469837
36.348633,-17.578115,-0.055493414000000005
36.548828,-18.285851,-0.057370215999999995
36.749023,-19.081974,-0.059198587999999996
36.949219,-19.873503,-0.061398
37.149414,-20.586641,-0.06333217
37.349609,-21.360735000000002,-0.064981729
37.549805,-22.157644,-0.066425651
37.75,-22.925058,-0.068875402
37.950195,-23.710295000000002,-0.07056891900000001
38.150391,-24.508387,-0.07257238
38.350586,-25.286343,-0.07408559299999999
38.550781,-26.034897,-0.076144189
38.750977,-26.808204999999997,-0.078086555
38.951172,-27.617886,-0.079460442
39.151367,-28.352354,-0.081519783
39.351563,-29.136430999999998,-0.083551556
39.551758,-29.919455,-0.08501336
39.751953,-30.707705999999998,-0.08646547800000001
39.952148,-31.494042999999998,-0.088369846
40.152344,-32.287926,-0.08989051
40.352539,-33.091590999999994,-0.091107935
40.552734,-33.811939,-0.092903525
40.75293,-34.600066999999996,-0.09500011800000001
40.953125,-35.445751,-0.096796453
41.15332,-36.159523,-0.09834021300000001
41.353516,-36.953140000000005,-0.099880993
41.553711,-37.740177,-0.10113269
41.753906,-38.501633,-0.10327919999999999
41.954102,-39.261208,-0.10420382
42.154297,-40.049911,-0.10617449999999999
42.354492,-40.831818,-0.10763556
42.554688,-41.604954,-0.10935292
42.754883,-42.384838,-0.1108855
42.955078,-43.25808,-0.11284649
43.155273,-44.011681,-0.11417195
43.355469,-44.723679,-0.11543334
43.555664,-45.544048,-0.11673421
43.755859,-46.308696999999995,-0.11870414
43.956055,-47.06662,-0.12007654
44.15625,-47.876732000000004,-0.12149960000000001
44.356445,-48.661552,-0.12310594
44.556641,-49.408283000000004,-0.12461543
44.756836,-50.199653999999995,-0.12544319
44.957031,-51.053089,-0.12721047
45.157227,-51.81012,-0.12876168
45.357422,-52.552742,-0.13037995
45.557617,-53.38633299999999,-0.13191849
45.757813,-54.153854,-0.13328493
45.958008,-54.878482999999996,-0.1344569
46.158203,-55.666340000000005,-0.13634637
46.358398,-56.459194,-0.13752356
46.558594,-57.233025,-0.13857260000000002
46.758789,-58.008781000000006,-0.13995022
46.958984,-58.823624,-0.14178976
47.15918,-59.610817000000004,-0.14300719
47.359375,-60.33968,-0.14463142
47.55957,-61.166267000000005,-0.14586747
47.759766,-61.944427000000005,-0.14715046
47.959961,-62.713173,-0.14882907
48.160156,-63.467209,-0.14967322
48.360352,-64.299072,-0.15158355
48.560547,-65.030365,-0.15267804
48.760742,-65.839043,-0.15458465
48.960938,-66.62556500000001,-0.15550554
49.161133,-67.42791,-0.15726164
49.361328,-68.173912,-0.15835239999999998
49.561523,-68.954964,-0.15953779
49.761719,-69.767014,-0.16143024
49.961914,-70.511711,-0.16216934
50.162109,-71.250977,-0.16330555
50.362305,-72.086334,-0.16551018
50.5625,-72.83852399999999,-0.16567037
50.762695,-73.617432,-0.16815886
50.962891,-74.404648,-0.16839206
51.163086,-75.234154,-0.17016903
51.363281,-75.987091,-0.17160624
51.563477,-76.74575,-0.17246604
51.763672,-77.55461899999999,-0.17433837
51.963867,-78.322075,-0.17480254
52.164063,-79.03961899999999,-0.1762934
52.364258,-79.87516,-0.17740726
52.564453,-80.685951,-0.17920732
52.764648,-81.433022,-0.1801841
52.96484399999999,-82.254173,-0.18158257
53.165039,-82.987236,-0.18319488
53.365233999999994,-83.767944,-0.18418208
53.565430000000006,-84.550461,-0.18493384
53.765625,-85.345505,-0.18682107
53.965819999999994,-86.133202,-0.18788502
54.166016000000006,-86.902374,-0.18917620000000002
54.366211,-87.70668,-0.19034371
54.56640600000001,-88.500847,-0.19164681
54.766602,-89.24251600000001,-0.19291192
54.966797,-90.034142,-0.19456446
55.16699200000001,-90.839203,-0.19544289
55.367188,-91.574478,-0.19616261
55.56738299999999,-92.34045400000001,-0.19761324
55.767578,-93.17588,-0.19891635
55.967773,-94.006157,-0.19986182
56.16796899999999,-94.682877,-0.20102635
56.368164,-95.5196,-0.20233244
56.568358999999994,-96.348061,-0.20366162
56.768555000000006,-97.046883,-0.20480976
56.96875,-97.84788499999999,-0.20568445
57.168944999999994,-98.654663,-0.20688251
57.369141000000006,-99.397797,-0.20810887
57.569336,-100.15218,-0.21016970000000001
57.76953100000001,-100.96061999999999,-0.21106601
57.969727,-101.79099000000001,-0.21159351
58.169922,-102.55124,-0.21276176
58.37011700000001,-103.35399,-0.2139993
58.570313,-104.13107,-0.21512732
58.77050799999999,-104.87675,-0.21645799
58.970703,-105.65033999999999,-0.21768436
59.170898,-106.47067,-0.21923929
59.37109399999999,-107.22368999999999,-0.22029579
59.571289,-108.01669,-0.22091046
59.771483999999994,-108.82932,-0.22197887
59.971680000000006,-109.70181000000001,-0.22323132
60.171875,-110.44049,-0.2245605
60.372069999999994,-111.18718,-0.22526309
60.572266000000006,-111.98496999999999,-0.22677034
60.772461,-112.73825,-0.22797734
60.97265600000001,-113.46337,-0.22891685
61.172852,-114.29481000000001,-0.22974685
61.373047,-115.08718999999999,-0.23134947
61.57324200000001,-115.81941,-0.23208931
61.773438,-116.67735,-0.23400709
61.97363299999999,-117.47034,-0.23467019
62.173828,-118.18002,-0.23584738
62.374023,-118.95063,-0.23699328
