time [s],Force [kN],Transducer [mm]
29.584961,-1.6573052,-0.0020824373
29.785156,-2.5127808999999997,-0.0057019293
29.985352000000002,-3.2619257,-0.0088177621
30.185546999999996,-4.0473995,-0.012848526
30.385741999999997,-4.7746916,-0.016459823000000002
30.585938,-5.0742736,-0.017557293
30.786133000000003,-5.8929725,-0.020448864
30.986328000000004,-7.075329300000001,-0.025223196
31.186522999999998,-7.9930768,-0.02842024
31.386719,-8.749068300000001,-0.031644851
31.586914,-9.5087166,-0.034335256
31.787109,-10.27453,-0.036744773
31.987305,-11.123838000000001,-0.039532781
32.1875,-11.956966,-0.042121857
32.387695,-12.851339999999999,-0.044940412
32.587891,-13.639039000000002,-0.047177820999999995
32.788086,-14.409839000000002,-0.049185753
32.988281,-15.213576999999999,-0.051400065
33.188477,-16.032032,-0.054246187
33.388672,-16.771708,-0.05581677
33.588867,-17.548379999999998,-0.058243424
33.789063,-18.325966,-0.059762597
33.989258,-19.119915,-0.062339753
34.189453,-19.824118,-0.064268708
34.389648,-20.623701,-0.065943599
34.589844,-21.39711,-0.06800741
34.790039,-22.145485,-0.069641322
34.990234,-22.948053,-0.071323663
35.19043,-23.742523000000002,-0.07361024599999999
35.390625,-24.486496,-0.074803084
35.59082,-25.288944,-0.07736459400000001
35.791016,-26.072088,-0.078909844
35.991211,-26.839918,-0.080940872
36.191406,-27.609844,-0.082167983
36.391602,-28.419325,-0.08422136300000001
36.591797,-29.193262,-0.08553043
36.791992,-29.906810999999998,-0.08739531
36.992188,-30.713324,-0.08950904
37.192383,-31.502373,-0.090875477
37.392578,-32.282131,-0.092750043
37.592773,-33.054146,-0.094390661
37.792969,-33.849724,-0.09675175
37.993164,-34.63443,-0.097792596
38.193359,-35.377983,-0.098944455
38.393555,-36.159003999999996,-0.10082349
38.59375,-36.963463,-0.10298863
38.793945,-37.711765,-0.10486022
38.994141,-38.484535,-0.10589808
39.194336,-39.276001,-0.10749623
39.394531,-40.065811,-0.10877103
39.594727,-40.856204999999996,-0.10968819
39.794922,-41.661274,-0.11166856
39.995117,-42.433907,-0.11371672
40.195313,-43.171753,-0.11457279
40.395508,-43.98362,-0.11641607
40.595703,-44.796394,-0.11787191
40.795898,-45.569859,-0.11970326
40.996094,-46.315186,-0.1212135
41.196289,-47.126945,-0.12273267
41.396484,-47.859660999999996,-0.12383163
41.59668,-48.640198,-0.12566
41.796875,-49.459808,-0.12684688
41.99707,-50.221184,-0.12849346
42.197266,-51.024082,-0.13001263
42.397461,-51.786095,-0.13124570000000002
42.597656,-52.594947999999995,-0.13231859
