time [s],Force [kN],Transducer [mm]
30.331055,-1.6534011000000002,-0.0030450523
30.53125,-2.4942887000000002,-0.0067554414
30.731445,-3.2829437000000006,-0.010234863
30.931641,-4.0574985,-0.014581531000000002
31.131836,-4.7840309,-0.018105656
31.332031,-5.0742908,-0.019803643
31.532227000000002,-5.9090619,-0.022711605
31.732421999999996,-7.0261664,-0.027673692000000003
31.932616999999997,-7.9951277,-0.031415372999999996
32.132813,-8.755866099999999,-0.034427643
32.333008,-9.4843779,-0.036849827
32.533203,-10.285677,-0.04016459
32.733398,-11.059569,-0.042654574
32.933594,-11.931348,-0.044985860999999995
33.133789,-12.860307,-0.047973543
33.333984,-13.646956,-0.050225854
33.53418,-14.486032000000002,-0.052905083
33.734375,-15.210409,-0.05537793
33.93457,-16.033669,-0.057224929
34.134766,-16.790615,-0.059726834000000006
34.334961,-17.541542,-0.061200559
34.535156,-18.337086,-0.063414872
34.735352,-19.09234,-0.065680593
34.935547,-19.835167000000002,-0.067143142
35.135742,-20.684591,-0.070123374
35.335938,-21.44557,-0.07126405799999999
35.536133,-22.203445000000002,-0.073491037
35.736328,-22.996599,-0.075533241
35.936523,-23.726357999999998,-0.077046454
36.136719,-24.509583,-0.079194456
36.336914,-25.295486,-0.08071959
36.537109,-26.049385,-0.082645565
36.737305,-26.818959999999997,-0.08466988800000001
36.9375,-27.57745,-0.086364895
37.137695,-28.383352000000002,-0.08745268
37.337891,-29.197443,-0.08938908599999999
37.538086,-29.902802,-0.09103417400000001
37.738281,-30.73558,-0.09341239900000001
37.938477,-31.526521999999996,-0.095091015
38.138672,-32.265137,-0.09641423800000001
38.338867,-33.06485,-0.09839385699999999
38.539063,-33.870712,-0.099651515
38.739258,-34.654461,-0.10143518
38.939453,-35.39587,-0.10354295
39.139648,-36.216076,-0.10523424
39.339844,-36.98814,-0.10607168
39.540039,-37.745213,-0.10794997
39.740234,-38.518353000000005,-0.10986552
39.94043,-39.306232,-0.11127964
40.140625,-40.065681,-0.1132749
40.34082,-40.865809999999996,-0.11422485
40.541016,-41.660759000000006,-0.11595413
40.741211,-42.396378000000006,-0.11693984
40.941406,-43.169399,-0.11928305
41.141602,-44.001343,-0.12063906
41.341797,-44.792598999999996,-0.122004
41.541992,-45.534702,-0.12327731
41.742188,-46.367160999999996,-0.12521297
41.942383,-47.138241,-0.12635812
42.142578,-47.877155,-0.12806058
42.342773,-48.685978000000006,-0.12931153
42.542969,-49.450516,-0.13100430000000002
42.743164,-50.215824,-0.13240501
42.943359,-51.004635,-0.13390034
43.143555,-51.799183,-0.13578981
43.34375,-52.573303,-0.13689101
43.543945,-53.317616,-0.13831481
43.744141,-54.122429000000004,-0.13960749
43.944336,-54.934498,-0.14164373
44.144531,-55.668755000000004,-0.14240667
44.344727,-56.448704000000006,-0.14401227
44.544922,-57.23873100000001,-0.14580339
44.745117,-58.044022,-0.14674366
44.945313,-58.780593999999994,-0.14834553
45.145508,-59.605949,-0.14992207
45.345703,-60.43800400000001,-0.15159398
45.545898,-61.143848,-0.15246794
45.746094,-61.925594,-0.1536794
45.946289,-62.735638,-0.15553162
46.146484,-63.509766000000006,-0.15687048
46.34668,-64.268631,-0.15787631
46.546875,-65.073524,-0.15949979
46.74707,-65.846695,-0.16072914
46.947266,-66.59416999999999,-0.16232505
47.147461,-67.385124,-0.16372129
47.347656,-68.173523,-0.16480461
47.547852,-68.932793,-0.16662627
47.748047,-69.728111,-0.16797557
47.948242,-70.528908,-0.16909912
48.148438,-71.28164699999999,-0.1703687
48.348633,-72.08129100000001,-0.17190948
48.548828,-72.881004,-0.17328784
48.749023,-73.61460100000001,-0.17441213
48.949219,-74.407173,-0.17563701
49.149414,-75.206017,-0.17654225
49.349609,-76.010452,-0.17812476
49.549805,-76.753815,-0.17933398
49.75,-77.52063000000001,-0.18041581
49.950195,-78.354462,-0.18245354
50.150391,-79.12702900000001,-0.18336698
50.350586,-79.870758,-0.18454939
50.550781,-80.673645,-0.18606037
50.750977,-81.459496,-0.18751994
50.951172,-82.260475,-0.18803403
51.151367,-83.00263199999999,-0.19014105
51.351563,-83.825981,-0.19096732
51.551758,-84.60724599999999,-0.19246191
51.751953,-85.358711,-0.19340888
51.952148,-86.146652,-0.19505695
52.152344,-86.949554,-0.19612014
52.352539,-87.68472299999999,-0.19734576
52.552733999999994,-88.494148,-0.19861758
52.752930000000006,-89.27922099999999,-0.19983128
52.953125,-90.021378,-0.20133927
53.153319999999994,-90.798096,-0.20222142
53.353516000000006,-91.614754,-0.20361468
53.553711,-92.379997,-0.20432174
53.75390600000001,-93.156143,-0.20602942
53.954102,-93.96714,-0.20745546
54.154297,-94.772026,-0.20826608
54.35449200000001,-95.529503,-0.21006837
54.554688,-96.291779,-0.21094531
54.75488299999999,-97.100792,-0.21175295
54.955078,-97.870651,-0.21295100000000003
55.155273,-98.599365,-0.21464527
55.35546899999999,-99.433022,-0.21550357
55.555664,-100.20770999999999,-0.21701306
55.755858999999994,-100.92557,-0.21820292
55.956055000000006,-101.78365,-0.21944419
56.15625,-102.56853000000001,-0.22030622
56.356444999999994,-103.3153,-0.22130683
56.556641000000006,-104.08791,-0.22259057
56.756836,-104.92881000000001,-0.22372379999999997
56.95703100000001,-105.66648,-0.22508949
57.157227,-106.41891000000001,-0.22601709
57.357422,-107.24816000000001,-0.22695139
57.55761700000001,-108.04137,-0.22855923
57.757813,-108.79082,-0.22923276
57.95800799999999,-109.56517,-0.23050308
58.158203,-110.34956000000001,-0.23160949
58.358398,-111.11956,-0.23283511
58.55859399999999,-111.86426999999999,-0.23377165
58.758789,-112.70693,-0.23510829
58.958983999999994,-113.5035,-0.23679286
59.159180000000006,-114.24243,-0.23696125
59.359375,-115.06918,-0.23869127
59.559569999999994,-115.84716999999999,-0.23948923
59.759766000000006,-116.56638999999998,-0.24068132
59.959961,-117.37338999999999,-0.24221539
60.16015600000001,-118.16406,-0.24269074
60.360352,-118.9167,-0.24383664
60.560547,-119.69418999999999,-0.24543107
60.76074200000001,-120.48747,-0.24586841
60.960938,-121.31409,-0.24702847
61.16113299999999,-121.99183000000001,-0.24796501
61.361328,-122.8797,-0.24981722
61.561523,-123.63553999999999,-0.25040731
61.76171899999999,-124.42993999999999,-0.25155246
61.961914,-125.18168999999999,-0.25225207
62.162108999999994,-125.96343,-0.25323704
62.362305000000006,-126.72802,-0.25467053
62.5625,-127.52358999999998,-0.25568232
62.762694999999994,-128.32056,-0.2572909
62.962891000000006,-129.13916,-0.25780573
63.163086,-129.80896,-0.25871173
63.36328100000001,-130.61067,-0.25966093
63.563477,-131.438,-0.26117638
63.763672,-132.19415,-0.26157051
63.96386700000001,-132.97879,-0.26312321
64.164063,-133.7876,-0.26376694
64.36425799999999,-134.59195,-0.26491508
64.564453,-135.32178000000002,-0.26531443
64.764648,-136.10721,-0.26719570000000004
64.964844,-136.9427,-0.2679348
65.16503900000001,-137.65485,-0.26880652
65.365234,-138.46954,-0.26994944
65.56543,-139.27031000000002,-0.27074814
65.765625,-140.00066,-0.27212352
65.96582,-140.74876,-0.27258843
66.166016,-141.55692,-0.27402043
66.36621099999999,-142.39484,-0.27445182
66.566406,-143.09233,-0.27564913
66.766602,-143.88887,-0.27678459999999994
66.966797,-144.71483999999998,-0.27769431
67.16699200000001,-145.44326999999998,-0.27902052
67.367188,-146.24324,-0.27985275
67.56738299999999,-147.07961,-0.28101279999999995
67.767578,-147.81941,-0.28121993
67.967773,-148.60426,-0.28251186
68.167969,-149.41295,-0.28328821
68.36816400000001,-150.19353,-0.28478652
68.568359,-150.95651,-0.28532892
68.768555,-151.67506,-0.28660148
68.96875,-152.49495,-0.28740987
69.168945,-153.25139,-0.28841421
69.369141,-154.01181,-0.28918236
69.56933599999999,-154.81436000000002,-0.29030293
69.769531,-155.61874,-0.29137135
69.969727,-156.34831,-0.29226914
70.169922,-157.18164,-0.29352084
70.37011700000001,-157.9939,-0.29407889
70.570313,-158.72929,-0.29531866
70.77050799999999,-159.51733000000002,-0.2965264
