Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.0158364,-0.20604064,-0.11397417,-0.052929457
-1.0091887,-0.20603421,-0.11397046,-0.052948233
-0.95426476,-0.20598291,-0.11403999,-0.052946672
-0.97833204,-0.20604956,-0.11401915,-0.05300029
-1.0494571000000001,-0.20599531,-0.11408579,-0.053013012000000005
-1.0295789,-0.20600122,-0.11409996,-0.052974213
-0.95653534,-0.20603061,-0.11394191,-0.052970424
-0.94807708,-0.20601445,-0.11396112,-0.052893594
-0.99342877,-0.20601639,-0.11407369,-0.052942827000000005
-1.03168,-0.20597005,-0.11400562,-0.05294733099999999
-0.97959113,-0.20599517,-0.11405176,-0.052968975
-0.95649433,-0.20598462,-0.11406086,-0.05295464
-1.0170434000000002,-0.20601767,-0.11410639,-0.05298097400000001
-1.0284966999999998,-0.20598204,-0.11410084,-0.052928574000000006
-0.97113478,-0.20605235,-0.11402570000000001,-0.052889302
-0.95281374,-0.20603335,-0.11394887,-0.052907594
-0.96688604,-0.20599766,-0.11404957,-0.052950457
-1.046123,-0.20604387,-0.11410634,-0.052986093
-1.0590814,-0.20600896,-0.11399389,-0.05297637
-0.94119835,-0.2059938,-0.11399817,-0.052878968
-2.6045125,-0.00041562691,-0.00065763091,-0.00042528845
-4.479032,-0.00097360834,-0.0011196615,-0.0011496367
-6.513061,-0.0016721338,-0.0018608295000000002,-0.0018864479000000002
-8.526252699999999,-0.0023472421,-0.0025960335,-0.0025768047
-10.547167,-0.0030244328000000003,-0.003281103,-0.0032686228000000004
-12.685502,-0.0037231334,-0.0039318199,-0.0039635105
-14.713947000000001,-0.0043246336,-0.0047106049,-0.0046406696
-16.611721,-0.0049452558,-0.005416031500000001,-0.005363523
-18.474186,-0.0055473037,-0.0060717496,-0.0060295975
-20.418148000000002,-0.0062223636,-0.0069147906999999995,-0.006729264699999999
-22.465857999999997,-0.0068821907,-0.0076696901,-0.0075002955
-24.412951,-0.00745425,-0.0084176417,-0.0081768529
-26.244839000000002,-0.0080243759,-0.009050275200000001,-0.008857741
-28.139822,-0.0086180717,-0.009753020500000001,-0.0094861919
-30.180277,-0.0092916787,-0.010646843000000001,-0.010263366
-32.158176,-0.0099429116,-0.011341223000000001,-0.010964628999999998
-34.029762,-0.010538116,-0.012150402,-0.011696288999999999
-35.951065,-0.011261933,-0.012920938,-0.012456927
-37.935139,-0.01179903,-0.013620792,-0.013231526
-39.971947,-0.012492128,-0.014403421999999999,-0.013965885
-41.815338,-0.013118513,-0.01518874,-0.014629033
-43.746016999999995,-0.013760558999999999,-0.015954249,-0.015401681
-45.686863,-0.014377043,-0.016798966000000002,-0.016133483
-47.729759,-0.015039593,-0.017640486,-0.016986247
-49.70005,-0.015727974,-0.018466743,-0.017667215
-51.520241,-0.016281173,-0.019108707,-0.018360745
-53.477135,-0.016939323,-0.020006495,-0.019087101999999998
-55.505508,-0.017664938999999998,-0.020872734,-0.019907735
-57.541332,-0.018344,-0.02156176,-0.020669188
-59.382946,-0.018958565,-0.022420468,-0.021399211
-61.263153,-0.019596729,-0.02316143,-0.022072072999999998
-63.286345999999995,-0.020342503,-0.023966097999999998,-0.022834717999999997
-65.328537,-0.020988528,-0.024797677999999997,-0.023673697999999996
-67.222427,-0.021697367999999998,-0.025526737999999997,-0.024396043
-69.093018,-0.022265289,-0.02633485,-0.025158945
-71.062363,-0.022931535,-0.027165342000000002,-0.025835373
-73.09234599999999,-0.023671868999999998,-0.027981635,-0.026641618
-75.032333,-0.024333935,-0.028739432000000002,-0.027437884
-76.867714,-0.024921011,-0.029484633,-0.028194785
-78.869858,-0.025693733,-0.030429566,-0.029003933
-80.900406,-0.026416544,-0.031186013,-0.029763643
-82.847572,-0.027092967000000003,-0.031973768,-0.030456051
-84.669304,-0.027733181000000003,-0.032760717,-0.031224295
-86.636528,-0.028431345,-0.033639453,-0.031985566
-88.665962,-0.029122155,-0.034458973,-0.032793492
-90.695061,-0.029891741,-0.035330698,-0.033584893
-92.532455,-0.030449834,-0.036129244,-0.034286354
-94.395485,-0.03113753,-0.036832795,-0.035006918
-96.432968,-0.031844001000000004,-0.037692975,-0.035863724
-98.462456,-0.032581057000000004,-0.038591005,-0.036620874
-100.38486,-0.03326134,-0.039280046,-0.037399676
-102.21433,-0.033979323,-0.04009138,-0.038078852
-104.20093,-0.034723822,-0.041055858,-0.038928747
-106.26991000000001,-0.03546812,-0.041881718,-0.039743368
-108.24521000000001,-0.03616282,-0.042726237,-0.040642824
-110.05126000000001,-0.036832679,-0.043546274,-0.041237026
-111.96328999999999,-0.037554976000000004,-0.04437100099999999,-0.042000607
-114.02065,-0.038289603,-0.04516213,-0.042864494
-116.02077,-0.039078113,-0.046181350999999995,-0.04370306400000001
-117.89195,-0.039700139,-0.046906910999999996,-0.044474669
-119.77514,-0.040403236,-0.047707316,-0.045189977
-121.79126000000001,-0.041213688,-0.048533894,-0.045944519
-123.91685,-0.041985552999999995,-0.049520887,-0.046823107
-125.78998999999999,-0.042663585,-0.050251309,-0.047567192
-127.65285,-0.04339895,-0.051149665999999996,-0.048358943
-129.60493,-0.044150512999999995,-0.052015722,-0.049101759
-131.50603,-0.044867214,-0.052790187,-0.049879413
-133.46646,-0.045647415999999996,-0.053638939000000004,-0.050703645
-135.35433999999998,-0.046392437,-0.054528289,-0.05147303599999999
-137.31766000000002,-0.04709338,-0.055314302,-0.052263007
-136.86415,-0.047045935,-0.055380045999999995,-0.052230172000000005
-134.9099,-0.046482037999999996,-0.054818224000000006,-0.051685333
-132.84222,-0.045911659,-0.054183628,-0.051074304
-130.84208999999998,-0.045398649000000006,-0.053506002000000004,-0.050502762
-128.92778,-0.044778477000000004,-0.052931134000000005,-0.049954455
-127.05426000000001,-0.044168908,-0.052284308,-0.049246818
-125.02967,-0.04363833,-0.051589884,-0.048612434
-123.02841000000001,-0.043051640999999995,-0.050930172,-0.047995891
-121.10928,-0.042447608,-0.050351850999999996,-0.047414202
-119.20351000000001,-0.041833546,-0.049702078,-0.046801447999999995
-117.20067,-0.041199904,-0.048960678,-0.046129255999999993
-115.19296000000001,-0.040583041,-0.048309442,-0.045466501
-113.26114,-0.039965447,-0.047573783,-0.044830669000000004
-111.36729,-0.039449457,-0.046949219,-0.044252839
-109.40942,-0.038853268999999996,-0.046285119000000007,-0.043480675999999996
-107.42563,-0.038155396,-0.04549732099999999,-0.042849489000000004
-105.45721,-0.037646603,-0.044804505999999994,-0.042255592
-103.55905,-0.036990266,-0.04411385599999999,-0.041583627000000005
-101.64423000000001,-0.036296497999999996,-0.04337002,-0.040867452
-99.6194,-0.035683315,-0.042626847,-0.040223375
-97.649467,-0.035095695,-0.042048170999999995,-0.039539389
-95.749397,-0.034539144,-0.041336715,-0.038836792
-93.85895500000001,-0.033880267,-0.040597081,-0.038157787
-91.917274,-0.033312891000000004,-0.039896566,-0.037567228
-89.827087,-0.032627482,-0.039114755,-0.03683573
-87.893867,-0.031959411,-0.038308624,-0.036107723
-86.01505300000001,-0.031427089,-0.037663188,-0.035453338
-84.110008,-0.030793931,-0.037023075,-0.034830622
-82.160492,-0.030202913999999997,-0.036218732999999996,-0.034137297000000004
-80.08714300000001,-0.029537801000000002,-0.035368048,-0.033319327999999995
-78.18650799999999,-0.028911608999999998,-0.034659012999999995,-0.032599843999999996
-76.31495699999999,-0.028323274,-0.034045935,-0.032008942
-74.23745699999999,-0.027668621,-0.033161718,-0.031243958
-72.247437,-0.027032393999999998,-0.032444682,-0.030534413
-70.32502,-0.026403662,-0.031810772,-0.029763817999999997
-68.544174,-0.025863331,-0.031102946,-0.029104851
-66.46249399999999,-0.025220397999999998,-0.030257897000000002,-0.028433583999999998
-64.439705,-0.024554696,-0.029497917999999998,-0.027567394
-62.554077,-0.023935657000000003,-0.028688287000000003,-0.026788626
-60.725838,-0.023421172,-0.028047618,-0.026143819
-58.713832999999994,-0.022697317999999998,-0.027263588999999998,-0.025422432000000002
-56.710784999999994,-0.022078205,-0.026424382000000003,-0.024640827999999997
-54.756588,-0.021407779,-0.025652112,-0.023837168
-52.857043999999995,-0.02078959,-0.024940977000000003,-0.02308381
-50.932865,-0.020133492,-0.02412395,-0.022276126
-48.883625,-0.019480268999999998,-0.023370837999999998,-0.021527853
-46.937003999999995,-0.018858019,-0.022553362,-0.020791888
-45.060204,-0.018214915,-0.02184546,-0.020036202
-43.12598,-0.017592534,-0.020965803,-0.019245416
-41.064587,-0.016854107,-0.020248499,-0.018489189
-39.112869,-0.016308442,-0.019331947,-0.017708208
-37.238205,-0.01571396,-0.018637866,-0.016992148000000002
-35.371918,-0.015067644,-0.017853122,-0.016221061000000002
-33.300613,-0.014398865,-0.017000165,-0.015314027
-31.299849,-0.013642508999999999,-0.016095258,-0.0145255
-29.4125,-0.013131081999999999,-0.015395913999999998,-0.013789271
-27.553879,-0.012449995,-0.014651127,-0.013016771000000002
-25.567331,-0.011758737,-0.013653098,-0.01220017
-23.520723,-0.011035713999999999,-0.01286309,-0.011314966999999999
-21.56555,-0.010306373,-0.012029327,-0.010501762
-19.717173000000003,-0.0097888075,-0.011161398000000001,-0.0097567337
-17.792479,-0.009088180999999999,-0.010398066999999999,-0.008963841
-15.737898000000001,-0.008340027199999999,-0.0095133819,-0.008135912
-13.777691,-0.007626425500000001,-0.0085546877,-0.0072810547
-11.871919,-0.0070362799,-0.0077306316,-0.0065681813
-10.008830999999999,-0.0062397830000000005,-0.0069951005,-0.0057898639
-7.9703898,-0.005519099499999999,-0.0061032968000000005,-0.0049909642
-6.0342512,-0.0047101527,-0.0052010352,-0.0042424677000000004
-4.1241479,-0.0039111562,-0.0045062946,-0.0033754753000000003
-5.423531099999999,-0.0043316558000000005,-0.0048574652,-0.0038579804999999997
-7.425710700000001,-0.0050024912,-0.0054378388,-0.0045055328
-9.3762798,-0.0055749528000000005,-0.0061600733999999996,-0.0052134981
-11.434237,-0.0061853677000000004,-0.006976764200000001,-0.0059451731
-13.460061999999999,-0.0067591369,-0.007654795,-0.0066242488
-15.411238,-0.0074336678,-0.0084893834,-0.0073295821999999995
-17.32851,-0.0080144629,-0.0092863133,-0.0080025652
-19.301014000000002,-0.008669246,-0.0099417707,-0.0088073285
-21.353703,-0.0092452578,-0.010726746,-0.0095349504
-23.316975,-0.0098508634,-0.011622177,-0.010171275
-25.173019,-0.010406971,-0.012447737,-0.010886478
-27.085372999999997,-0.011001418999999998,-0.013139561999999999,-0.011541403
-29.103245,-0.011686128,-0.014012036,-0.012354697
-31.131521000000003,-0.012287516000000002,-0.014887259,-0.013145586
-33.039333,-0.012774039,-0.015473609,-0.013844405
-34.95105,-0.01355714,-0.016277777,-0.014609215
-36.878799,-0.014066868,-0.017103964,-0.015295361
-38.873837,-0.01472085,-0.017756908999999998,-0.016031511000000002
-40.838004999999995,-0.015357043999999999,-0.018683914,-0.016793761
-42.747828999999996,-0.015944157,-0.01942612,-0.017479178
-44.6772,-0.01659904,-0.020102076,-0.018285978999999997
-46.675327,-0.017263841000000002,-0.021038772999999997,-0.018927585
-48.639010999999996,-0.017863803,-0.021821549,-0.019611663999999997
-50.503979,-0.018397342,-0.022467066,-0.020343083999999997
-52.439762,-0.019075166,-0.023216179,-0.021075483
-54.484505000000006,-0.01974773,-0.024063641,-0.021938846
-56.502563,-0.020415265,-0.024797247999999997,-0.022648937999999997
-58.323707999999996,-0.020975944,-0.02558223,-0.023303315
-60.207287,-0.02158263,-0.026344377999999998,-0.023963299
-62.242962,-0.022235977999999997,-0.027170258,-0.024805427
-64.272079,-0.022946354,-0.027863359,-0.025499418
-66.201828,-0.02354395,-0.028724688999999998,-0.026340733999999998
-68.061539,-0.024209712,-0.029489353,-0.027011696
-70.014442,-0.024786215,-0.030188469,-0.027683076
-72.03364599999999,-0.025437143,-0.031044286,-0.028406578999999998
-73.98095699999999,-0.02610765,-0.031835958,-0.029168852000000002
-75.86797299999999,-0.026728567,-0.032523207,-0.029900409
-77.808594,-0.027315866,-0.033272829,-0.030668769
-79.845734,-0.028044257000000003,-0.034091242,-0.031408652999999995
-81.829071,-0.0286805,-0.034974433,-0.032124162000000005
-83.683212,-0.029276732000000003,-0.035596624,-0.032844108
-85.599144,-0.02991632,-0.036382101,-0.033604417000000004
-87.625114,-0.03055406,-0.037178349,-0.034333259
-89.632355,-0.03120644,-0.037958752000000005,-0.035048835
-91.497116,-0.031876449,-0.038696956,-0.035707515
-93.41220899999999,-0.032455225,-0.039505925,-0.036418062
-95.404037,-0.033101629,-0.040149655,-0.037237689
-97.44453399999999,-0.033847164,-0.041081656,-0.037969161
-99.340141,-0.034364801,-0.041823708,-0.038624982999999995
-101.17989,-0.035019788999999996,-0.042490281,-0.039316338
-103.16022,-0.035661843,-0.043228853,-0.04009518
