Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.1785142,-0.63689882,-0.0075086099,-0.023039039
-1.6024541,-0.63693619,-0.007668783,-0.023212884
-1.5658028,-0.63695806,-0.0076483437,-0.023191381
-2.1017604,-0.63708949,-0.0077580684,-0.023398314
-2.5803857000000003,-0.63727832,-0.008020819200000001,-0.023574151
-2.8763247000000005,-0.63737565,-0.0081967078,-0.02371303
-3.1836088,-0.63750857,-0.0081564412,-0.023832898999999998
-3.3678559999999997,-0.63756794,-0.0082594249,-0.023864131
-3.6270545,-0.63769561,-0.0084390091,-0.02394231
-3.9554629,-0.63779366,-0.0084641175,-0.024087135
-4.014317,-0.63787097,-0.008550114000000001,-0.024096455
-3.9719602999999997,-0.63782573,-0.0084831864,-0.024063788
-3.9639771,-0.63783723,-0.008574645,-0.024060585
-3.991658,-0.63786972,-0.0085986257,-0.02408246
-3.9387531000000005,-0.63777387,-0.0084920991,-0.024042662000000003
-3.9497242,-0.63782084,-0.0085095838,-0.024068847
-3.9589013999999993,-0.63789833,-0.0085970238,-0.024049722000000003
-3.9629004,-0.63785177,-0.0085528493,-0.024047524
-3.9151702000000004,-0.63789582,-0.00853315,-0.024055734
-3.9309877999999996,-0.6378482,-0.0084721902,-0.024038382
-5.551487,-0.000664372,-0.00059431529,-0.00060197338
-7.594266900000001,-0.0016602874,-0.0015672618,-0.0013400204
-9.578078300000001,-0.0026567205999999998,-0.0021932989,-0.0020562932
-11.580506,-0.0035826378000000003,-0.0031563959,-0.0028097592
-13.577810999999999,-0.0044603422,-0.0039960537,-0.0034909751
-15.477081,-0.0053845309,-0.0047664749,-0.0042498354
-17.404213000000002,-0.0062905438,-0.0057344534,-0.0049640853000000006
-19.397852,-0.0071447641,-0.0065698521,-0.0057340804
-21.394855,-0.0081485547,-0.0074449745,-0.0065100285999999995
-23.302357,-0.0088933855,-0.0083439434,-0.007242558499999999
-25.228170000000002,-0.0098130032,-0.0092192981,-0.007964100699999999
-27.249426,-0.010666243999999998,-0.010160245,-0.0088042375
-29.201034999999997,-0.011594363,-0.011029833000000001,-0.0095988996
-31.089876,-0.012423657,-0.01185517,-0.010321718
-33.045189,-0.013273895,-0.01282073,-0.011047788000000001
-35.061668,-0.014086727,-0.013649333999999999,-0.011767916000000002
-36.939254999999996,-0.014897111999999999,-0.014412899,-0.01254274
-38.840008000000005,-0.015702192,-0.015381174,-0.013318793999999998
-40.828724,-0.016546991,-0.016193327,-0.014052406000000002
-42.826637,-0.017366961,-0.01709,-0.014908943000000001
-44.74054,-0.01818664,-0.01801108,-0.015682286
-46.67926,-0.018984418,-0.018796381,-0.016476486000000002
-48.693295,-0.019725661999999998,-0.019665439,-0.017285855
-50.663094,-0.020526655,-0.020438442,-0.018037948999999998
-52.558987,-0.021400917000000002,-0.021300586,-0.018848155
-54.482043999999995,-0.022208814,-0.022267167999999997,-0.019544922
-56.512177,-0.022923383999999998,-0.02303697,-0.020363882
-58.363613,-0.023685138999999997,-0.023861712,-0.021095312999999997
-60.295452000000004,-0.024512034,-0.024741942000000003,-0.021878736
-62.298698,-0.025371116000000003,-0.025604945,-0.022682402
-64.292763,-0.026128102,-0.026399035,-0.023447493
-66.191711,-0.026805665,-0.027169533,-0.024197856
-68.12307,-0.027629439,-0.028032724,-0.024983671000000002
-70.173012,-0.028422125,-0.028931332999999997,-0.025853558999999998
-72.08989,-0.029177111000000002,-0.029686682000000002,-0.026611311000000002
-73.974815,-0.029865112000000003,-0.030617762000000003,-0.027345899
-75.955788,-0.030728389,-0.031474739,-0.02807105
-77.950676,-0.031514306,-0.032260448,-0.028851226
-79.83686800000001,-0.032249477,-0.033056036000000004,-0.02960089
-81.75589000000001,-0.03303967,-0.033798162,-0.030369295
-83.799988,-0.03381535,-0.03471081,-0.031206354
-85.70740500000001,-0.034577373,-0.035559859,-0.031948082
-87.607086,-0.035198752,-0.036310133,-0.03272865
-89.599716,-0.036087837000000005,-0.037185552999999996,-0.033581909
-91.610229,-0.036752718999999996,-0.037892703,-0.034269951
-93.487091,-0.037518848,-0.038737204,-0.034986906
-95.424187,-0.038352672000000004,-0.039633233,-0.035733227
-97.392204,-0.039097589,-0.040324111,-0.036584392
-99.419487,-0.039861682999999995,-0.04130977,-0.037315387
-101.28026,-0.040536162,-0.042022715999999995,-0.038076978
-103.27601999999999,-0.041325655,-0.042909723,-0.038887106
-105.26893999999999,-0.04206429,-0.043785859,-0.039677303
-107.19728,-0.042878377999999995,-0.044552878,-0.040376436
-109.05701,-0.043545019000000004,-0.045408212,-0.041067973
-111.02422,-0.044305798,-0.046217386,-0.041820385
-113.05127,-0.045079019000000005,-0.047019600999999994,-0.042653579000000004
-114.9689,-0.045859855,-0.047823637999999995,-0.043397039000000005
-116.86263000000001,-0.046517249000000004,-0.048677798,-0.044114105
-118.84998999999999,-0.047315154000000005,-0.049531847000000004,-0.044926863
-120.85538000000001,-0.048117284,-0.050311413,-0.045655027
-122.7917,-0.048744787000000005,-0.051106017000000004,-0.046453755
-124.70473,-0.049569067,-0.051972102,-0.047186307999999996
-126.71678,-0.050309788,-0.052695400999999996,-0.047879189
-128.63336,-0.051009778,-0.053604442999999995,-0.048640192
-130.54904,-0.051746089,-0.054351587,-0.049371070999999996
-132.51578,-0.05249643,-0.055188194,-0.050142087
-134.49203,-0.053232352999999996,-0.056055609000000006,-0.050907790999999994
-136.41887,-0.053951818,-0.05692698400000001,-0.051618992999999995
-138.3502,-0.054740320999999995,-0.057665102,-0.052418455
-140.38667,-0.055496002999999995,-0.058585825999999994,-0.053226069
-142.32355,-0.056147340999999996,-0.059334185,-0.053951047
-144.17108000000002,-0.056830112,-0.060054768,-0.054621465999999994
-146.10902,-0.05761623,-0.060974073,-0.055369336
-148.1669,-0.058377285,-0.061776109,-0.05610495099999999
-150.03963000000002,-0.059009355,-0.06260927,-0.056856308
-151.94225,-0.05973948900000001,-0.063497119,-0.057651627999999996
-153.94006000000002,-0.060507026,-0.06422127,-0.058389783
-155.94946000000002,-0.061325733,-0.06516692,-0.059204895
-157.8353,-0.061987083,-0.065952495,-0.059872285
-159.77531000000002,-0.06269764900000001,-0.066730149,-0.060673832999999996
-161.81323,-0.063419774,-0.06762287,-0.061429407000000005
-163.72781,-0.064162627,-0.068392299,-0.062156439
-165.63109,-0.064887017,-0.069237471,-0.062936418
-167.56779,-0.065710321,-0.070155524,-0.06362386
-169.59694,-0.066379651,-0.07086858900000001,-0.064397499
-171.48758999999998,-0.067095503,-0.071716234,-0.065092653
-173.39224,-0.067830801,-0.072413303,-0.065812081
-175.39455,-0.068616763,-0.073467925,-0.066691145
-177.34546,-0.069308162,-0.07427033,-0.067389965
-179.23982,-0.06996437900000001,-0.07503642099999999,-0.068121471
-181.17383,-0.070695788,-0.07584121099999999,-0.068877637
-183.23543,-0.071505964,-0.076740801,-0.069674075
-185.20972,-0.07224291599999999,-0.077560626,-0.070452303
-187.07455,-0.072938085,-0.078419,-0.071139365
-189.00293,-0.073585138,-0.079146892,-0.071892805
-187.07272,-0.07328061799999999,-0.078717954,-0.071461543
-184.98421000000002,-0.072786272,-0.078140184,-0.070906386
-182.95508,-0.07230360799999999,-0.07755970200000001,-0.070377812
-181.04062,-0.07181336,-0.07712153299999999,-0.06985624900000001
-179.14256,-0.071332201,-0.076451249,-0.069369115
-177.11963,-0.070796713,-0.075930178,-0.068866618
-175.1452,-0.070358232,-0.07534352700000001,-0.068341553
-173.2823,-0.069806933,-0.07467579099999999,-0.067796759
-171.30495,-0.069274113,-0.074207067,-0.06727206
-169.3036,-0.068719685,-0.073534869,-0.066670932
-167.36928,-0.06825614,-0.073001727,-0.066171072
-165.51651,-0.067642227,-0.072395027,-0.065625966
-163.48457,-0.067157164,-0.071707681,-0.064971313
-161.49867,-0.066583604,-0.071097434,-0.064399987
-159.54765,-0.066094175,-0.070571937,-0.06376481099999999
