Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.97011214,-0.10302442,-0.028171532000000003,-0.036030985
-1.0352209,-0.10305715,-0.028209467999999998,-0.035961482999999995
-1.0261145,-0.10307494,-0.028102687,-0.036077973
-0.94026512,-0.10303697,-0.028159069,-0.035988938
-1.0319799,-0.10304246,-0.028190082,-0.035984218
-1.0138489,-0.10310081,-0.028263477999999998,-0.036039174
-0.92349946,-0.10299101,-0.028190464,-0.03598829
-1.0094196,-0.10313026,-0.028090646,-0.036015727000000004
-1.037892,-0.10305917,-0.02821097,-0.03601307
-0.95858049,-0.10301802,-0.028069768,-0.036006477
-0.94031543,-0.10302532,-0.02816779,-0.035939563
-1.069393,-0.10304794,-0.028270587000000003,-0.036117394
-0.9637028,-0.10305096,-0.028078033,-0.035993159
-0.94057435,-0.10303394,-0.028113607000000002,-0.035999052000000004
-1.0407139,-0.10303872,-0.02821381,-0.036033165
-1.0090805,-0.10298365,-0.028145218,-0.036004886
-0.9349453999999999,-0.10301359,-0.028135311,-0.035977781
-0.98312646,-0.10300767,-0.028117358999999998,-0.035940949
-1.0373238,-0.10305606,-0.028213673999999998,-0.036033064
-0.93021429,-0.10298941,-0.028087652999999997,-0.035930149
-2.6341919999999996,-0.00046645943,-0.0005659305,-0.0007390324000000001
-4.3323412,-0.00090926886,-0.0010400581,-0.0012934678
-6.6368656,-0.0015937584,-0.0017811654,-0.0021945261
-8.492904699999999,-0.0021623168,-0.0025664333,-0.0028267675
-10.669065,-0.0027631959000000003,-0.0031251271999999997,-0.0036696657
-12.811437,-0.0033835759,-0.003904897,-0.0046172072
-14.615651000000002,-0.0039430643,-0.0043878444,-0.005304866899999999
-16.533533,-0.0045580482,-0.0050295736,-0.006056655699999999
-18.597363,-0.0051842248,-0.0057272911,-0.006958289499999999
-20.400997,-0.005673170999999999,-0.0062627178,-0.0076654296999999995
-22.294817000000002,-0.006276371899999999,-0.0069369446,-0.0085257161
-24.39946,-0.0069259694,-0.0075828754,-0.0093825627
-26.221632,-0.0074743079,-0.0082135377,-0.010164306
-28.145353000000004,-0.008161935,-0.0088477489,-0.010993747
-30.184238,-0.008754323199999999,-0.009416422800000001,-0.011864472
-32.122536,-0.0094360886,-0.010130958,-0.012713771
-33.982185,-0.010021299999999999,-0.010681808000000001,-0.013535453000000001
-35.947086,-0.010667571,-0.011369495,-0.014317304
-38.01944,-0.011313644,-0.012055905,-0.015244768999999998
-39.828609,-0.012010544,-0.012625586999999999,-0.016031398999999998
-41.747791,-0.012625505,-0.013292367,-0.016848223
-43.849644,-0.013285172,-0.013917013,-0.017867058999999998
-45.707504,-0.013879283000000001,-0.014567934,-0.018628543
-47.63427,-0.014557325,-0.015165797,-0.019485526
-49.653782,-0.01529126,-0.015957322,-0.020300923000000002
-51.610386,-0.015929541999999998,-0.016642088,-0.02113599
-53.46908199999999,-0.0166265,-0.017175717,-0.022111129
-55.435168999999995,-0.01723088,-0.017925083999999997,-0.02287293
-57.520538,-0.017984279,-0.018494062,-0.023832135
-59.369514,-0.018675674,-0.01918033,-0.024655907999999997
-61.242771,-0.019302733,-0.019911823999999998,-0.025429046
-63.354225,-0.020097151,-0.020493336,-0.026370682000000003
-65.215187,-0.020695742,-0.021188837000000002,-0.027132824
-67.080658,-0.021365255,-0.021763058,-0.027932368
-69.159378,-0.022087097000000003,-0.022553056000000002,-0.028945192999999998
-71.080147,-0.02275423,-0.023262952000000003,-0.029673707
-72.96462199999999,-0.023481872,-0.023788458,-0.030588109
-74.96234100000001,-0.024263851,-0.024467455,-0.031433601
