Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-173.56906,-2.7849274,0.1988219,-0.045845378
-154.3279,-2.7797034,0.20395124,-0.041162454
-135.12018999999998,-2.7743482999999998,0.20914555,-0.036498803999999996
-115.99771000000001,-2.7690041,0.2143451,-0.03164145
-96.922218,-2.7635994,0.21965098,-0.02697316
-77.798103,-2.758076,0.22502542,-0.022122826
-58.70514300000001,-2.7525477,0.23072672,-0.017282965
-39.763588,-2.7469075000000003,0.23640883,-0.012240473
-20.759384,-2.7415919,0.24221802,-0.0070687677
-2.3588836,-2.7366384999999998,0.24828327,-0.0020004576
-0.61459655,-2.7359865,0.24915743,-0.0014358843
-0.34298187,-2.7357902999999997,0.24936581,-0.001486928
-0.29682553,-2.7357774,0.24944496,-0.001369135
-0.32864696,-2.7357370999999997,0.2495538,-0.0013659223999999998
-0.44844115,-2.7357397,0.2494663,-0.0012468207
-0.6184392,-2.7357332999999997,0.24937069,-0.0013603303
-0.73085541,-2.7356682,0.24942815,-0.0013398651
-0.7737576999999999,-2.7357364,0.24939764,-0.0013020287
-0.83909369,-2.7357432999999998,0.2493962,-0.0013451004999999999
-0.87317079,-2.7356811000000003,0.24943578,-0.0012607416
-2.4967604,-0.00035950540999999997,-0.00059711933,-0.00030899831
-3.98265,-0.00076594949,-0.001072526,-0.00060050614
-6.626522099999999,-0.0014451593,-0.001875639,-0.0013108333999999999
-8.498086,-0.0018366873000000001,-0.0024796723999999997,-0.0017397663000000001
-10.770685,-0.0023952127,-0.0030908585,-0.0023842962
-12.767058,-0.0029420704,-0.0037426949,-0.0028847377000000003
-14.653972,-0.0034322440999999997,-0.0042322874,-0.003381253
-16.548414,-0.0038893074,-0.0048342943,-0.0040420834
-18.494072,-0.004358843,-0.0053091049,-0.004347512
-20.434874,-0.0048475862,-0.005902648000000001,-0.0050373742999999995
-22.352339,-0.0054257959,-0.0064784288,-0.0054578594999999995
-24.303425,-0.0059586614,-0.0069792271,-0.006008511899999999
-26.236855,-0.006463483000000001,-0.0074532031999999995,-0.006483729000000001
-28.172946999999997,-0.0070273727,-0.0080779791,-0.0069932137
-30.107165999999996,-0.0075786859,-0.0086134672,-0.007504125600000001
-32.057976000000004,-0.0080918074,-0.0091302395,-0.0079282988
-34.051514000000005,-0.0086899102,-0.009733319300000001,-0.0085873445
