Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.0072626,-0.15665145,-0.0095548686,0.046613906
-0.99849516,-0.15665410000000002,-0.009506779699999999,0.046587739
-1.037348,-0.15660064,-0.0095544867,0.046593852000000005
-1.040915,-0.15656868,-0.0095193675,0.046672229
-1.0109991,-0.15664986,-0.0095110377,0.046680603
-0.97291356,-0.15658139,-0.0094340993,0.046677612
-0.9989273000000001,-0.15662833,-0.0095138615,0.046680339
-1.0345783000000002,-0.15662299,-0.009516904100000001,0.046645973
-1.0645072,-0.15665971,-0.009596863800000001,0.046577192999999996
-1.0285191999999999,-0.15665242,-0.0095210541,0.046581898
-0.97807682,-0.15664548,-0.0095781218,0.046663027
-1.0107607,-0.15666391,-0.0095799202,0.046662204000000006
-1.0549631000000002,-0.15669520000000003,-0.0095904712,0.046583794000000005
-1.0172036,-0.15660655,-0.0095197363,0.04664154400000001
-0.95633233,-0.15663305,-0.0094210925,0.046708457
-0.96319056,-0.15657997,-0.0095608365,0.04669573900000001
-1.0533928999999997,-0.15662679,-0.0095496783,0.046653386
-1.0614917,-0.15669639,-0.0095886076,0.046570602999999995
-0.98332202,-0.15671854,-0.0095234448,0.04661623
-0.97495687,-0.1566381,-0.0095102293,0.046642076
-2.6739314,-0.00059168041,-0.00065475953,-0.00051810592
-4.431706,-0.0011523813,-0.0012281366,-0.0010824241
-6.44977,-0.0018780529000000002,-0.0018049197000000001,-0.0018381812
-8.4536552,-0.0025357902,-0.0024653634,-0.0024549179
-10.532796000000001,-0.0032829790999999997,-0.0031975482,-0.0032264310999999997
-12.680529,-0.0040470064,-0.0038997473,-0.003992239
-14.758462,-0.0048151165,-0.0046603107,-0.0047218576000000005
-16.6236,-0.0054468364,-0.0053123576,-0.0054338779
-18.517256,-0.0061401576000000005,-0.0060764574,-0.0061249658
-20.453723999999998,-0.0067673475,-0.006847967900000001,-0.0068649296
-22.455872,-0.0075342804,-0.007650449399999999,-0.0074955299
-24.396932999999997,-0.0082016438,-0.0083250124,-0.008243395
-26.254181,-0.0088612139,-0.0090430304,-0.008930858199999999
-28.171787,-0.0095937848,-0.009830081800000001,-0.0096363518
-30.167659999999998,-0.01034686,-0.010595535,-0.010344921
-32.167629,-0.010988101,-0.01146632,-0.011040778999999999
-34.055766999999996,-0.011715442,-0.012166274,-0.011779049
-35.937801,-0.012313366000000001,-0.012742911,-0.012453055
-37.877728000000005,-0.013043538,-0.013657333,-0.013210796
-39.940418,-0.013801366,-0.014480959,-0.013906888999999999
-41.914345000000004,-0.01453577,-0.015240143000000001,-0.014705669
-43.776405,-0.015177116000000001,-0.016060425,-0.015442883999999999
-45.703762,-0.0159024,-0.016869055,-0.016126566999999998
-47.713745,-0.01670526,-0.017507849,-0.016899422
-49.71051,-0.017377302,-0.018389445,-0.017717373
-51.61396,-0.018077403,-0.019246817,-0.018455241
-53.50515,-0.01880981,-0.019958222,-0.019092325
-55.458916,-0.019519776000000003,-0.020831006000000003,-0.019867897
-57.40574300000001,-0.020204678,-0.021538437999999997,-0.020558035
-59.434265,-0.020934492,-0.022354931,-0.021345318999999998
-61.287888,-0.021672382999999996,-0.023211535,-0.022105515
