Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.2511294,0.35930079,0.045754592999999996,0.07151784
-1.5254617,0.35917494,0.045648322000000005,0.071423262
-1.7607993999999998,0.35920936,0.045591466,0.07129012
-1.8777717,0.35907924,0.045506779000000004,0.071242109
-2.428582,0.35905674,0.045374442,0.07108593
-2.817668,0.35905424,0.045210879,0.070849121
-3.0534585,0.35897294,0.044954997000000003,0.070771977
-3.3672247000000004,0.35895804,0.04495972,0.070573404
-3.6246405,0.35885704,0.044845916,0.070472643
-3.8578657999999995,0.358908,0.044677876,0.070402071
-3.9776061,0.35887936,0.044740561,0.070377126
-3.9526429,0.35885698,0.044668522,0.070349619
-4.058394399999999,0.35891694,0.044649441,0.07033416599999999
-3.9291866,0.35894161,0.044651233,0.07038012099999999
-3.8849413,0.35894309999999996,0.044673542999999996,0.070404008
-3.9047375,0.35885999,0.044705253,0.070380673
-3.9279870999999997,0.35884699,0.044741906,0.070344493
-3.8613769999999996,0.35883895,0.04471191,0.070337996
-3.9376152,0.35897776,0.044665258,0.070291117
-3.9215032999999995,0.35887983,0.044669714000000006,0.070332021
-5.5492911,-0.00017407537,-0.0005741663,-0.00074030459
-7.4584131,-0.00051142275,-0.0013006696000000002,-0.0015301183
-9.5842743,-0.00089502335,-0.0020687054000000002,-0.0025215447
-11.619693,-0.0012913346,-0.002788808,-0.0034033134999999996
-13.647888,-0.0017675310000000001,-0.0035372449,-0.0042517856
-15.650291000000001,-0.0022010803,-0.0042555402,-0.0050231069
-17.528234,-0.002731517,-0.0050588264,-0.005788289
-19.453058,-0.0032175779,-0.005668196800000001,-0.006541676800000001
-21.366323,-0.0037555844,-0.0064863227,-0.0071225241
-23.396297,-0.0043322742,-0.007341013299999999,-0.0077471137
-25.404163,-0.004932776099999999,-0.0080587156,-0.0084270984
-27.395646999999997,-0.0054584593,-0.0087899407,-0.0090199262
-29.184402000000002,-0.0060076714,-0.0095107462,-0.0095235035
-31.206642,-0.0065984726,-0.010066749,-0.010148458
-33.153252,-0.0072047561,-0.010899496000000002,-0.010729886999999999
-34.997787,-0.0077562779000000005,-0.011643607,-0.011318073
-37.045502,-0.0083432943,-0.012499304,-0.012005046
-38.975918,-0.0089499205,-0.013263252,-0.012590125
-40.907269,-0.0095835775,-0.013800622,-0.013068214
-42.888054,-0.010283098000000001,-0.014614161,-0.013683408000000001
-44.747952000000005,-0.010763183,-0.015256568,-0.014234684
-46.808979,-0.011505498999999999,-0.015938967,-0.014755033
-48.808781,-0.012050703000000001,-0.016714249,-0.015355006000000001
-50.691238,-0.012606933999999998,-0.017342994,-0.015910923
-52.543797,-0.013240576,-0.017964831,-0.016387843
-54.628876,-0.013839826000000001,-0.018778527,-0.017047822
-56.511864,-0.014498918999999999,-0.019345598000000002,-0.017648965
-58.539821999999994,-0.015108943,-0.020184625,-0.018183462
-60.332085,-0.015722841,-0.02077521,-0.018637933
-62.34796899999999,-0.016291171,-0.021428392999999997,-0.019237101
-64.342339,-0.016975507,-0.022171324,-0.019845538
-66.415543,-0.017571345,-0.02288994,-0.020405434
-68.329002,-0.018182203,-0.023502929,-0.020942755
-70.2341,-0.018877923,-0.024266699,-0.021509305
-72.28098299999999,-0.019515917,-0.024904927,-0.022025867999999997
-74.214516,-0.020062193,-0.025546167,-0.022599056
-75.927353,-0.020674229,-0.026159326,-0.023038372
-78.03466,-0.021277025,-0.026928792000000003,-0.023597375
-79.977104,-0.021854997,-0.027539493999999998,-0.024130963
-81.857956,-0.022417247,-0.028228907,-0.024642012999999997
-83.84427600000001,-0.023120135,-0.028779825,-0.025173806
-85.888039,-0.023748428,-0.029561228999999998,-0.025818557000000002
-87.725639,-0.024298057,-0.030121672999999998,-0.026357472000000003
-89.733437,-0.02491945,-0.030774497999999997,-0.026820213
-91.629601,-0.025541931,-0.03144566,-0.027391343999999998
-93.648666,-0.026183486000000002,-0.032114562,-0.027932934
-95.479301,-0.026717395,-0.032706767000000005,-0.028448447999999998
-97.548996,-0.027345747000000004,-0.033524696,-0.028963491
-99.445511,-0.027981132000000002,-0.034147251,-0.029471882
-101.39811,-0.028645663999999998,-0.034716275,-0.029989197999999998
-103.31083000000001,-0.029211789,-0.035411704,-0.03049767
-105.37978000000001,-0.029879674,-0.036078356,-0.031044349
-107.20415,-0.030385152000000002,-0.036617178,-0.031565048
-109.19008999999998,-0.031079501000000002,-0.037378445,-0.032114498
-111.07745,-0.031673118,-0.038024276,-0.032746889
-113.05871,-0.032319382,-0.038706116,-0.033282413999999996
-115.02937,-0.032904937999999995,-0.039307237,-0.03375414
-116.92511999999999,-0.033583998999999996,-0.040005743999999996,-0.034268208
-118.9782,-0.034158036,-0.040688142000000004,-0.034814662999999996
-120.91838999999999,-0.034832447999999995,-0.04124929,-0.035306901
-122.81373,-0.035397887,-0.041880999,-0.03583619
-124.63387,-0.035979614,-0.042506989,-0.036274388
-126.57365,-0.03653191,-0.043118070999999994,-0.036835559
-128.48391999999998,-0.037204891000000004,-0.043746639000000004,-0.037370457999999995
-130.38721999999999,-0.037792802,-0.044367287000000005,-0.037875801
-132.41522,-0.038491651,-0.045056883,-0.038450144
-134.34842,-0.039034933,-0.045706119,-0.038996458
-136.25137,-0.039647296,-0.046359569,-0.03952352
-138.15965,-0.040299237,-0.046915310999999994,-0.039994963
-140.14016999999998,-0.040893584,-0.047608133,-0.040534392
-142.27546999999998,-0.041577056,-0.048253961,-0.041067816
-144.12816,-0.042162745999999994,-0.048930775,-0.041599825
-146.11082,-0.042816310999999996,-0.049493946,-0.042085110999999994
-148.06685,-0.04345028099999999,-0.050149791,-0.042651497000000003
-150.03998,-0.044003427000000005,-0.050803743,-0.043150701
-151.91922,-0.04461959,-0.051422387,-0.043599575999999994
-154.02252,-0.045290828,-0.05217576,-0.044318847
-155.77888000000002,-0.045877293,-0.052677333,-0.044808707999999996
-157.95786,-0.046604067,-0.053372725999999995,-0.045344271
-159.72516000000002,-0.047091140999999996,-0.054037083,-0.045842864000000004
-161.7032,-0.047706172000000005,-0.054655906,-0.04632435
-163.62253,-0.048344045999999995,-0.055158563,-0.046838433
-165.62041000000002,-0.04894802,-0.055958983,-0.047380768
-167.5945,-0.049658298,-0.056534037,-0.047934770999999994
-169.56047,-0.050283387,-0.057199892,-0.04845874
-171.47467,-0.050872654,-0.057956680999999996,-0.048962242999999996
-173.40466,-0.051482797000000004,-0.05835548,-0.049422078
-175.42103999999998,-0.052091762,-0.059064730999999995,-0.04999505
-177.29004,-0.052695035999999994,-0.059749637,-0.05046159
-179.39481999999998,-0.053324505999999994,-0.060357854,-0.051020145
-181.15921,-0.053986057999999996,-0.060969774000000004,-0.051536404
-183.13782,-0.054551645999999995,-0.061608280999999994,-0.052005284000000006
-185.24893,-0.055276915,-0.062221902999999995,-0.052647099
-187.15408,-0.055867538,-0.06294169999999999,-0.053144604000000005
-189.03578000000002,-0.056428865,-0.063496731,-0.053639367
-190.96063,-0.057036459000000005,-0.064144798,-0.054167278
-192.98022,-0.057731822,-0.064821817,-0.054739267
-194.9359,-0.058265239,-0.065419801,-0.055229306
-196.87393,-0.058928967,-0.06608829599999999,-0.055759452
-198.8734,-0.059511691,-0.066848263,-0.056198344000000004
-200.66052,-0.06015572,-0.067288995,-0.056733236
-202.57889,-0.060753629,-0.067922831,-0.057242177000000005
-204.44041,-0.061375529000000005,-0.06853569999999999,-0.057736807
-206.72943,-0.062118350999999995,-0.069243364,-0.058367074000000005
-208.62341,-0.062693283,-0.069958903,-0.058906712
-210.48888,-0.063275993,-0.07045202,-0.05943916
-212.49606,-0.063942254,-0.071103215,-0.059960149000000004
-214.31142000000003,-0.064502716,-0.07182312,-0.060420252
-216.37653999999998,-0.065112382,-0.072370909,-0.060970067999999995
-218.24693,-0.065746471,-0.072974585,-0.06150493
-220.12877999999998,-0.06632565,-0.073616758,-0.061914578
-222.14583,-0.067045689,-0.07428227400000001,-0.062621698
-223.99794,-0.067617774,-0.07489778799999999,-0.063113712
-226.12946000000002,-0.068230674,-0.075542092,-0.063594468
-228.14113999999998,-0.068920657,-0.076283909,-0.064109601
-229.85168,-0.06935013799999999,-0.076846465,-0.06460711400000001
