Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.093639,0.13552143,0.05895138900000001,-0.0099158566
-1.3689082000000001,0.13549609,0.058784351,-0.009931229100000001
-1.37119,0.13543083,0.058788075999999995,-0.009912935999999999
-2.3551397,0.13515453,0.05805007,-0.0099051334
-2.5966709,0.13513222,0.05783385,-0.0098983869
-2.8141141,0.13506529999999997,0.057692729000000005,-0.0098520201
-3.0763892999999998,0.13501194,0.057489686,-0.009838888399999999
-3.3775215,0.13496673,0.057162579000000005,-0.0098445248
-3.6872904,0.134903,0.05698977,-0.0098265503
-4.0176139,0.13486288,0.056774285,-0.0098650157
-4.0310192,0.13480717,0.056691978,-0.009771913299999999
-4.0106049,0.13478717,0.056764826,-0.0097397193
-4.0117392999999995,0.13487829,0.056662805,-0.009805880500000001
-3.9845127999999996,0.13483691,0.056849147999999995,-0.009801525600000001
-3.9919762999999997,0.13482459,0.056713447,-0.0098345615
-3.955653,0.13489094,0.056819901,-0.009756051
-3.9382019,0.13489267,0.056731064000000005,-0.0097145792
-3.9465876000000004,0.13487785,0.056736197,-0.0097947381
-3.9350892999999996,0.13484533,0.056847982000000005,-0.009833898399999999
-3.9164722000000003,0.13482523,0.056783114,-0.0097756721
-5.5015554,-0.00028966367000000004,-0.0010751211,7.3604286e-05
-7.615609200000001,-0.00068739802,-0.0028156086,-6.665103100000001e-05
-9.6061869,-0.00097433478,-0.0042682621000000006,-0.00023099408
-11.564582000000001,-0.0012276173,-0.0056613572,-0.0005595460500000001
-13.547298000000001,-0.0015894845000000001,-0.007007446600000001,-0.0010023396
-15.458982,-0.0018489063,-0.0083322609,-0.0013266429000000001
-17.429705,-0.0022261068,-0.009501801800000001,-0.0018358231
-19.411410999999998,-0.0025663674,-0.010572216,-0.0023926198
-21.410925,-0.0029418617,-0.011747914,-0.0029409025
-23.360001,-0.0034118071000000002,-0.012814171999999999,-0.0034831949
-25.296839000000002,-0.0038554221000000003,-0.013902299,-0.0040239766
-27.232677000000002,-0.0042496994,-0.01494667,-0.0046276916
-29.146364000000002,-0.004712224,-0.015898399,-0.0052710827000000005
-31.057347999999998,-0.0051794574,-0.016924068,-0.0058941748
-33.015831,-0.0056316032999999995,-0.017880846000000002,-0.0063994713
-34.981213000000004,-0.006216958199999999,-0.018811164,-0.0071036741
-36.996632,-0.006720081,-0.019799056000000002,-0.007789474
-38.933102000000005,-0.007248580500000001,-0.020695092,-0.0083089871
-40.879353,-0.0077245533,-0.021615515,-0.0090403492
-42.851326,-0.0082038343,-0.022576479,-0.009712277
-44.788509000000005,-0.0086979866,-0.023468984,-0.010362356999999999
-46.709534000000005,-0.0092198104,-0.024424385,-0.01095958
-48.617924,-0.0097360685,-0.025214175,-0.011590728
-50.579132,-0.01026158,-0.026212325,-0.012280321
-52.585163,-0.010792478999999999,-0.027124695,-0.013049218000000001
-54.580433,-0.011286198999999998,-0.028024964,-0.013708399
-56.496345999999996,-0.011850871,-0.028920976,-0.014360713999999998
-58.460884,-0.01236847,-0.029779239,-0.01499286
-60.401585,-0.012902796000000001,-0.030656016,-0.015723547
-62.335674,-0.013459496000000001,-0.031502463,-0.016462265
-64.246307,-0.013976343,-0.032428637,-0.017089773
-66.173073,-0.014495075,-0.033265937,-0.017803025
