1,2,3,4,5,6,7,8
41838.0,18.672852,-1.2784081,-1.2425501,-0.49743503,0.1402436,0.0045858673,0.0069759637
41838.0,19.172852,-1.571108,-1.2536571,-0.49781799,0.1402116,0.0045303325,0.0069713183
41838.0,19.672852,-1.863808,-1.8454958,-0.50150156,0.1399994,0.0044450643,0.0067482516
41838.0,20.172852,-2.156508,-2.2147074,-0.5044952,0.13985552,0.0044982,0.006577082
41838.0,20.672852,-2.449208,-2.4906621,-0.50625801,0.13971455,0.0044093789,0.0064415261
41838.0,21.172852,-2.7419081,-2.7874057,-0.50840378,0.13961287,0.0044722846,0.0063598081
41838.0,21.672852,-3.0346081,-3.1238515,-0.51064491,0.13942482,0.0043984707,0.0062872544
41838.0,22.172852,-3.3273079,-3.4578497,-0.51248223,0.13936664,0.0043422412,0.0060820207
41838.0,22.672852,-3.620008,-3.7099197,-0.51390976,0.13927554,0.004396054,0.0060855448
41838.0,23.172852,-3.912708,-4.043972,-0.51553249,0.13915293,0.0043104375,0.0058894455
41838.0,23.672852,-3.927,-4.0368104,-0.51601827,0.13911776,0.0041899108,0.0059344172
41838.0,24.172852,-3.927,-3.9846356,-0.51614344,0.13914187,0.0043731718,0.0059714243
41838.0,24.672852,-3.927,-4.002912,-0.51550865,0.13908406,0.0043075779,0.0059449561
41838.0,25.172852,-3.927,-3.999902,-0.51605701,0.13909347,0.0041621109,0.0058864951
41838.0,25.672852,-3.927,-3.9208586,-0.51567554,0.13919465,0.0043181996,0.0060298368
41838.0,26.172852,-3.927,-3.9463825,-0.51543266,0.13914309,0.0043275408,0.0059517808
41838.0,26.672852,-3.927,-3.9519815,-0.51559806,0.13910894,0.0043435441,0.0059812069
41838.0,27.172852,-3.927,-3.9155092,-0.51615089,0.1391515,0.0043983837,0.0059946999
41838.0,27.672852,-3.927,-3.9244239,-0.51531792,0.1391031,0.0043180888,0.0060144961
41838.0,28.172852,-3.927,-3.960207,-0.51593632,0.13915147,0.0043823081,0.0059350431
41838.0,28.672852,-5.7018046,-5.6035256,-0.0076159835,-0.00076520443,-0.0001980099,-0.00053307787
