1,2,3,4,5,6,7,8
41883.0,14.408203,-1.0,-0.98710692,0.045672059,-0.069941565,0.025368601,0.046717122
41883.0,14.908203,-1.0,-1.0429565,0.04530251,-0.069940142,0.02530385,0.046636842
41883.0,15.408203,-1.0,-1.0096431,0.047004223,-0.069957592,0.025380371,0.046682488
41883.0,15.908203,-1.0,-0.96140242,0.046914816,-0.06987343,0.025414612,0.046747413
41883.0,16.408203,-1.0,-0.97693133,0.046601892,-0.069962211,0.025260983,0.046728361
41883.0,16.908203,-1.0,-1.0434575,0.045663118,-0.07001777,0.025294973,0.04665776
41883.0,17.408203,-1.0,-0.98605639,0.046956539,-0.069922119,0.025324082,0.046712536
41883.0,17.908203,-1.0,-0.97040647,0.04580915,-0.06988582,0.025403785,0.046738524
41883.0,18.408203,-1.0,-1.0414273,0.046700239,-0.069952533,0.025316114,0.046665087
41883.0,18.908203,-1.0,-1.0219142,0.045979023,-0.069941163,0.025239736,0.046670906
41883.0,19.408203,-1.0,-0.96455586,0.045526028,-0.069974422,0.025351789,0.046721894
41883.0,19.908203,-1.0,-0.97377038,0.046297908,-0.069928072,0.025318014,0.046721373
41883.0,20.408203,-1.0,-1.0244269,0.046253204,-0.069955543,0.025410172,0.046722654
41883.0,20.908203,-1.0,-0.98918194,0.046625733,-0.06996578,0.025371836,0.046717763
41883.0,21.408203,-1.0,-0.96851218,0.045642257,-0.069857031,0.02540553,0.046749439
41883.0,21.908203,-1.0,-0.97793901,0.046655536,-0.069924079,0.025370475,0.046729743
41883.0,22.408203,-1.0,-1.0135826,0.046703219,-0.069938906,0.025370441,0.04675094
41883.0,22.908203,-1.0,-0.94816458,0.046816468,-0.069952704,0.025503663,0.04678224
41883.0,23.408203,-1.0,-0.9739548,0.046846271,-0.069846816,0.025385201,0.04673158
41883.0,23.908203,-1.0,-1.0309629,0.046798587,-0.069909707,0.025363794,0.046735216
41883.0,24.408203,-2.7824218,-2.6976037,-0.010064244,-0.00045564771,-0.00065335125,-0.00059542432
41883.0,24.908203,-4.7324219,-4.2181926,-0.018322468,-0.00095001608,-0.00120611,-0.001058653
